BARRIO,SITIO
RICAURTE E-14,INTERIOR VEHICULO SERVICIO PUBLICO
GRAN BRITALIA E-8,VIAS PUBLICAS
SAN PABLO II E-7,VIAS PUBLICAS
EL RECREO E-7,INTERIOR VEHICULO PARTICULAR
CHICO NAVARRA E-1,VIAS PUBLICAS
LA GRANJA E-10,TRANSPORTE PUBLICO
MORATO E-11,VIAS PUBLICAS
FONTIBON CENTRO E-9,TRANSPORTE PUBLICO
FONTIBON CENTRO E-9,VIAS PUBLICAS
ARMENIA E-13,VIAS PUBLICAS
AEROPUERTO EL DORADO,AEROPUERTO
NUEVO TIMIZA E-8,VIAS PUBLICAS
BACHUE E-10,ESTACION TRANSMILENIO PORTAL DE LA 80
EL SALITRE LUIS MARIA FERNANDEZ E-10,VIAS PUBLICAS
ENGATIVA E-10,VIAS PUBLICAS
CASTILLA REAL     E-8,VIAS PUBLICAS
LOS HAYUELOS E-9,VIAS PUBLICAS
LAS NIEVES E-3,VIAS PUBLICAS
SANTA MARIA DEL LAGO E-10,VIAS PUBLICAS
EL PARAISO E-19,VIAS PUBLICAS
URB. PINOS DE LOMBARDIA E-11,CASETA VIGILANCIA EMPRESAS
ALHAMBRA SECTOR NORTE E-11,VIAS PUBLICAS
NICOLAS DE FEDERMAN E-13,VIAS PUBLICAS
LAS FLORES,FRENTE A RESIDENCIAS - VIA PUBLICA
LAS FLORES,FRENTE A RESIDENCIAS - VIA PUBLICA
MONTEBELLO,VIAS PUBLICAS
LOS OLIVOS,VIAS PUBLICAS
SAN JUDAS,VIAS PUBLICAS
SAN FRANCISCO,TIENDA
LOS OLIVOS,VIAS PUBLICAS
LOS OLIVOS,VIAS PUBLICAS
PANAMA,VIAS PUBLICAS
ALAMOS,VIAS PUBLICAS
LAS PALMAS ETAPA I,BUS MEGABUS
CRISTO REY,VIAS PUBLICAS
PLAYA SALGUERO,VIAS PUBLICAS
ZONA MERCADO,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
BASTIDAS,CASAS DE HABITACION
VEREDA SANTA MARIA LA BAJA,FINCAS Y SIMILARES
VEREDA SANTA MARIA LA BAJA,FINCAS Y SIMILARES
VEREDA BUENOS AIRES,VIAS PUBLICAS
LA ESPERANZA,VIAS PUBLICAS
PORFIA,CASAS DE HABITACION
VILLA BOLIVAR,VIAS PUBLICAS
RELIQUIA,VIAS PUBLICAS
PORVENIR,VIAS PUBLICAS
MIRAFLORES I,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN FELIPE,VIAS PUBLICAS
TAMASAGRA I,VIAS PUBLICAS
CHILE,VIAS PUBLICAS
POTRERILLO,PLAZAS DE MERCADO
LAS VIOLETAS I,VIAS PUBLICAS
BARRIO CENTRO,VIAS PUBLICAS
BARRIO NUEVO,VIAS PUBLICAS
CENTRO,HELADERIA
CENTRO,VIAS PUBLICAS
SECTOR CENTRO,CASAS DE HABITACION
LA PAZ,VIAS PUBLICAS
LOS LAURELES,VIAS PUBLICAS
VDA.ARAUCA,VIAS PUBLICAS
AMERICA,VIAS PUBLICAS
SECTOR GALERIA CENTRAL,VIAS PUBLICAS
CENTRO (A) PEREIRA,"BARES, CANTINAS Y SIMILARES"
ALCAZAREZ - PEREIRA V-10,INTERIOR VEHICULO SERVICIO PUBLICO
SECTOR PUENTES DE LA 9A CON 12,"HOTELES, RESIDENCIAS, Y SIMILARES."
B. LOS FUNDADORES,PARQUES
SECTOR CENTRO,VIAS PUBLICAS
SECTOR CENTRO,VIAS PUBLICAS
NUEVO SOTOMAYOR,PELUQUERIA Y SIMILARES
BOLARQUI,VIAS PUBLICAS
CIUDADELA REAL DE MINAS,VIAS PUBLICAS
PUERTA DEL SOL,TRANSPORTE PUBLICO
SAN ALONSO,VIAS PUBLICAS
SAN ALONSO,VIAS PUBLICAS
SAN ALONSO,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
ANTONIA SANTOS SUR,VIAS PUBLICAS
CABECERA DEL LLANO,"BARES, CANTINAS Y SIMILARES"
SOTOMAYOR,OFICINAS
ZAPAMANGA V,CANCHA DE FUTBOL
ZAPAMANGA V,CANCHA DE FUTBOL
ZAPAMANGA IV,CANCHA DE FUTBOL
C.R. PORTAL DE OVIEDO,FRENTE CONJUNTO - VIA PUBLICA
CANHAVERAL,VIAS PUBLICAS
CANHAVERAL,VIAS PUBLICAS
ZAPAMANGA IV,VIAS PUBLICAS
RIO DE ORO I,VIAS PUBLICAS
CABECERA DEL LLANO P/TA,VIAS PUBLICAS
SAN FRANCISCO P/TA,PARADERO DE BUSES
ENTRADA A CONFINES-SAN GIL,CARRETERA
URB. LOS TEJARES,VIAS PUBLICAS
12 DE OCTUBRE,VIAS PUBLICAS
PICALENHA,VIAS PUBLICAS
JORDAN VIII ETAPA,VIAS PUBLICAS
TRINIDAD,VIAS PUBLICAS
TULIO VARON,VIAS PUBLICAS
LA POLA,CASAS DE HABITACION
LIMONAR V SECTOR,VIAS PUBLICAS
CALLE PRIMERA,VIAS PUBLICAS
ANGEL DEL HOGAR E7,VIAS PUBLICAS
VALLE GRANDE E21,VIAS PUBLICAS
MOJICA E15,ESTACION M.I.O.
CAMINO REAL - J BORRERO E19,CLINICAS Y SIMILARES
SAN PEDRO E3,VIAS PUBLICAS
VILLANUEVA E12,VIAS PUBLICAS
VILLANUEVA E12,VIAS PUBLICAS
YIRA CASTRO E13,APARTAMENTO
PRADOS DEL NORTE E2,TERMINAL DE TRANSPORTES
BRISAS DE MAYO E20,DENTRO DE LA VIVIENDA
SAN PASCUAL E3,VIAS PUBLICAS
EL LIDO E19,SEMAFORO
SAN FERNANDO VIEJO E19,VIAS PUBLICAS
VILLACOLOMBIA E8,VIAS PUBLICAS
CRISTOBAL COLON E10,VIAS PUBLICAS
SAN VICENTE E2,VIAS PUBLICAS
VALLE GRANDE E21,VIAS PUBLICAS
PARCELACIONES PANCE E22,VIAS PUBLICAS
SAN JUAN BOSCO E3,BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
SAN PEDRO E3,VIAS PUBLICAS
MANUELA BELTRAN E14,VIAS PUBLICAS
URBANIZACION LA MERCED E2,VIAS PUBLICAS
TERRON COLORADO E1,INTERIOR VEHICULO SERVICIO PUBLICO
ZAMORANO,LOCAL COMERCIAL
RECTA CALI - PALMIRA,INTERIOR VEHICULO SERVICIO PUBLICO
CORREGIMIENTO EL BOHIO,VIAS PUBLICAS
CORREGIMIENTO EL BOHIO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
BUENOS AIRES,VIAS PUBLICAS
LA CABANHITA,VIAS PUBLICAS
VILLA ARABIA,VIAS PUBLICAS
PUEBLO NUEVO,VIAS PUBLICAS
AUTOPISTA NORTE,CARRETERA
VDA. ZARZAL CURAZAO,CARRETERA
MESA,VIAS PUBLICAS
SANTA MARIA # 3,VIAS PUBLICAS
SAN BENITO C-10,VIAS PUBLICAS
GUAYAQUIL C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
BOSTON C-10,VIAS PUBLICAS
CONQUISTADORES C-11,VIAS PUBLICAS
LAURELES C-11,VIAS PUBLICAS
LAURELES C-11,VIAS PUBLICAS
GRANADA C-16,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
SIMON BOLIVAR C-12,VIAS PUBLICAS
PERPETUO SOCORRO C-10,VIAS PUBLICAS
LA CANDELARIA C-10,UNIVERSIDADES
SAN DIEGO C-10,VIAS PUBLICAS
BOMBONA 1 C-10,SUPERMERCADOS
CUARTA BRIGADA C-11,VIAS PUBLICAS
LOS COLORES C-11,VIAS PUBLICAS
ARANJUEZ  C-4,SEMAFORO
LA ALPUJARRA C-10,VIAS PUBLICAS
SURAMERICANA C-11,INTERIOR VEHICULO SERVICIO PUBLICO
BOSTON C-10,VIAS PUBLICAS
LAURELES C-11,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
FLORIDA NUEVA C-11,VIAS PUBLICAS
EL POBLADO C-14,VIAS PUBLICAS
PRADO C-10,VIAS PUBLICAS
MIRAMAR,LOCAL COMERCIAL
EL RECREO,VIAS PUBLICAS
NUEVA COLOMBIA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CAMPO ALEGRE,VIAS PUBLICAS
LA VICTORIA,VIAS PUBLICAS
CENTRO,OFICINAS
SAN BENITO,VIAS PUBLICAS
LOS ROBLES,VIAS PUBLICAS
BAZURTO,VIAS PUBLICAS
SEVILLA,APARTAMENTO
SAN JUAN BOSCO,VIAS PUBLICAS
BARRIO BOLIVAR,CASAS DE HABITACION
EL CENTRO,ESTABLECIMIENTOS REVISADOS
SAN FERNANDO,VIAS PUBLICAS
LA ESPERANZA,"COLEGIOS, ESCUELAS"
EL EMPEDRADO,VIAS PUBLICAS
EL PAJONAL,VIAS PUBLICAS
LUIS A ROBLES,CARRETERA
CENTRO,LOCAL COMERCIAL
MAREIGUA,VIAS PUBLICAS
SAN VICENTE,VIAS PUBLICAS
GARUPAL III,LOCAL COMERCIAL
CENTRO,VIAS PUBLICAS
EL ALIVIO,VIAS PUBLICAS
CHUCHURUBI,VIAS PUBLICAS
CIUDAD SALITRE E-9,TRANSPORTE PUBLICO
SAN BERNARDINO E-7,VIAS PUBLICAS
EL RINCON E-11,VIAS PUBLICAS
SAN DIEGO E-3,ESTACION TRANSMILENIO CALLE 22
TIMIZA CELULA A LOTE RA-2 E-8,VIAS PUBLICAS
VILLA ALSACIA E-8,VIAS PUBLICAS
RICAURTE E-14,ESTACION TRANSMILENIO RICAURTE (CLL 13)
SUCRE E-2,VIAS PUBLICAS
VILLA ELISA E-11,VIAS PUBLICAS
EL CEREZO E-1,PARADERO DE BUSES
SUBA CENTRO E-11,VIAS PUBLICAS
ALCAZARES E-12,VIAS PUBLICAS
LAS DELICIAS   E-8,VIAS PUBLICAS
VILLA DEL PRADO E-11,LOCAL COMERCIAL
SOCIEGO E-4,VIAS PUBLICAS
SAN CAYETANO E-11,VIAS PUBLICAS
LAS NIEVES E-3,ESTACION TRANSMILENIO UNIVERSIDADES
SAN PEDRO LOS ROBLES E-9,VIAS PUBLICAS
QUESADA E-13,"BARES, CANTINAS Y SIMILARES"
URB. LA COLINA CAMPESTRE I SECTOR E-11,VIAS PUBLICAS
RICAURTE OCCIDENTAL E-16,VIAS PUBLICAS
URB. MARRUECOS E-18,VIAS PUBLICAS
MARLY E-2,VIAS PUBLICAS
EL LAUREL E-10,VIAS PUBLICAS
SALITRE E-11,ESTACION TRANSMILENIO GRAN ESTACION
CIUDAD SALITRE II E-13,VIAS PUBLICAS
LAS NIEVES E-3,VIAS PUBLICAS
EL PINAR E-11,VIAS PUBLICAS
ALHAMBRA SECTOR NORTE E-11,VIAS PUBLICAS
CHAPINERO CENTRAL E-2,VIAS PUBLICAS
ALSACIA E-8,VIAS PUBLICAS
VILLAS DE GRANADA E-10,VIAS PUBLICAS
LA AZUCENA A E-7,VIAS PUBLICAS
LAS AGUAS E-3,ESTACION TRANSMILENIO AGUAS
LAS NIEVES E-3,VIAS PUBLICAS
URB. COMPARTIR E-11,VIAS PUBLICAS
CHAPINERO ALTO E-2,ESTACION TRANSMILENIO CALLE 57
ALAMEDA E-3,TRANSPORTE PUBLICO
VERBENAL E-1,VIAS PUBLICAS
CANDELARIA III-IV E-19,VIAS PUBLICAS
LA TOSCANA E-11,VIAS PUBLICAS
QUINTA CAMACHO E-2,VIAS PUBLICAS
BRITALIA E-11,VIAS PUBLICAS
TEUSAQUILLO E-13,VIAS PUBLICAS
SANTIAGO DE LAS ATALAYAS E-7,VIAS PUBLICAS
CASTILLA REAL     E-8,ESTACION TRANSMILENIO BANDERAS
BOSA CENTRO E-7,VIAS PUBLICAS
FLORENCIA E-10,VIAS PUBLICAS
CHICO NORTE I E-2,VIAS PUBLICAS
SANTA BARBARA E-1,CENTRO COMERCIAL
QUINTANARES,VIAS PUBLICAS
JULIO RINCON II,VIAS PUBLICAS
SAN MATEO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
SAN JUDAS,VIAS PUBLICAS
16 DE JULIO,CASAS DE HABITACION
LAS DELICIAS,VIAS PUBLICAS
TIMANCO,VIAS PUBLICAS
TIMANCO,VIAS PUBLICAS
CALIXTO LEYVA,VIAS PUBLICAS
CUARTO CENTENARIO,APARTAMENTO
CENTRO,PARQUES
LAS GRANJAS,VIAS PUBLICAS
LA LIBERTAD,VIAS PUBLICAS
ALTICO,VIAS PUBLICAS
CANDIDO LEGUIZAMO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
MARIA EUGENIA,VIAS PUBLICAS
MARIA EUGENIA,VIAS PUBLICAS
URBANIZACION ANDREA CAROLINA,"DROGUERIAS, FARMACIAS"
VEREDA LA PRADERA,VIAS PUBLICAS
VEREDA LA PRADERA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
VEREDA VANGUARDIA,VIAS PUBLICAS
SAN ISIDRO,VIAS PUBLICAS
PORVENIR,VIAS PUBLICAS
DELIRIO,CASAS DE HABITACION
CANAAN,VIAS PUBLICAS
GOLGOTA,VIAS PUBLICAS
PARQUE BOLIVAR,FRENTE A RESIDENCIAS - VIA PUBLICA
SANTA FE,VIAS PUBLICAS
SAN MIGUEL,CANCHAS DE RANA
SANTA ANA,VIAS PUBLICAS
BARRIO RUDESINDO SOTO,VIAS PUBLICAS
BARRIO EL RETIRO,VIAS PUBLICAS
OBRERO I,RODANDO SOBRE VIA - VIA PUBLICA
POPULAR,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
LAS AMERICAS,ALMACENES
SECTOR DISCOTECAS,TRAMO DE VIA
AMERICA,VIAS PUBLICAS
INTERMEDIO (V/SANTANA),VIAS PUBLICAS
CGTO. EL CENTRO,VIAS PUBLICAS
OLAYA HERRERA,VIAS PUBLICAS
CIUDADELA REAL DE MINAS,LOCAL COMERCIAL
KENNEDY,VIAS PUBLICAS
CAMPO HERMOSO,LOCAL COMERCIAL
LA UNIVERSIDAD,VIAS PUBLICAS
LA UNIVERSIDAD,VIAS PUBLICAS
GAITAN,VIAS PUBLICAS
GALAN,VIAS PUBLICAS
PROVENZA,VIAS PUBLICAS
VILLA MERCEDES,VIAS PUBLICAS
LA UNIVERSIDAD,VIAS PUBLICAS
URB. MONTE REDONDO,VIAS PUBLICAS
LIMONCITO,FRENTE A RESIDENCIAS - VIA PUBLICA
RUITOQUE BAJO,FRENTE RESTAURANTE
SAN BERNARDO,VIAS PUBLICAS
SAN ANTONIO,PUENTE
NUEVO MAJAGUAL,VIAS PUBLICAS
SANTA MARGARITA MARIA,VIAS PUBLICAS
VILLA DEL PRADO,CASAS DE HABITACION
VARIANTE,FINCAS Y SIMILARES
ARKANIZA,VIAS PUBLICAS
SANTA HELENA,VIAS PUBLICAS
LA CEIBA (SALADO),VIAS PUBLICAS
LA CEIBA (SALADO),VIAS PUBLICAS
BELLAVISTA,VIAS PUBLICAS
MARROQUIN I E14,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN PEDRO E3,VIAS PUBLICAS
SAN LUIS E6,VIAS PUBLICAS
CGTO LA VORAGINE E22,VIAS PUBLICAS
CHIMINANGOS II E5,VIAS PUBLICAS
SAN FERNANDO NUEVO E19,VIAS PUBLICAS
SAN FERNANDO NUEVO E19,VIAS PUBLICAS
TERRON COLORADO E1,VIAS PUBLICAS
JULIO RINCON E12,VIAS PUBLICAS
CENTENARIO E2,ESTACION M.I.O.
CIUDAD DE LOS ALAMOS E2,VIAS PUBLICAS
NAPOLES E18,VIAS PUBLICAS
LA PAZ E2,SEMAFORO
BRISAS DE LOS ALAMOS E2,LOCAL COMERCIAL
EL LIDO E19,BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
SAN FERNANDO NUEVO E19,VIAS PUBLICAS
PUERTAS DEL SOL E14,VIAS PUBLICAS
CIUDAD 2000 E16,INTERIOR VEHICULO PARTICULAR
EL GUABAL E10,VIAS PUBLICAS
PANAMERICANO E10,VIAS PUBLICAS
SAN LUIS E6,VIAS PUBLICAS
PIZAMOS III - LAS DALIAS E21,CASAS DE HABITACION
SULTANA BERLIN SAN FRANCISCO E4,VIAS PUBLICAS
PAMPA LINDA E19,ALIMENTADOR BUS M.I.O.
LA INDEPENDENCIA E11,VIAS PUBLICAS
SAN JOAQUIN E17,ESTACION M.I.O.
VERSALLES E2,VIAS PUBLICAS
EL RECUERDO E11,VIAS PUBLICAS
ARANJUEZ E9,VIAS PUBLICAS
ALFONSO LOPEZ I E7,VIAS PUBLICAS
ALFONSO LOPEZ I E7,VIAS PUBLICAS
SANTANDER E4,VIAS PUBLICAS
MARISCAL ROBLEDO,"BARES, CANTINAS Y SIMILARES"
VIA GUACARI-EL CERRITO,VIAS PUBLICAS
BALBOA,TIENDA
ZONA CENTRO,VIAS PUBLICAS
PEREZ,VIAS PUBLICAS
PRADO,VIAS PUBLICAS
ZONA CENTRO,VIAS PUBLICAS
LA BRIZUELA,FINCAS Y SIMILARES
SANTA MARIA # 1,VIAS PUBLICAS
LA LOMA DE LOS BERNAL C-16,VIAS PUBLICAS
LAURELES C-11,VIAS PUBLICAS
BARRIO COLOMBIA C-14,VIAS PUBLICAS
PARQUE NORTE C-4,VIAS PUBLICAS
CARIBE C-5,VIAS PUBLICAS
LAURELES C-11,CASAS DE HABITACION
LA LOMA DE LOS BERNAL C-16,VIAS PUBLICAS
CORDOBA C-7,VIAS PUBLICAS
EL RODEO C-15,CEMENTERIO
SEVILLA  C-4,VIAS PUBLICAS
GUAYAQUIL C-10,INTERIOR VEHICULO SERVICIO PUBLICO
LA ESPERANZA C-6,VIAS PUBLICAS
SAN DIEGO C-10,VIAS PUBLICAS
LA CANDELARIA C-10,INTERIOR VEHICULO SERVICIO PUBLICO
BOSTON C-10,VIAS PUBLICAS
CASTILLA C-5,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
MARIA CANO - CARAMBOLAS  C-3,VIAS PUBLICAS
GUAYAQUIL C-10,VIAS PUBLICAS
PROGRESO C-5,VIAS PUBLICAS
PATIO BONITO C-14,VIAS PUBLICAS
CARIBE C-5,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
ESTADIO C-11,VIAS PUBLICAS
ALEJANDRO ECHAVARRIA  C-9,VIAS PUBLICAS
CALAZANS C-12,CASAS DE APUESTAS
BOMBONA 1 C-10,VIAS PUBLICAS
EL PRADO,FINCAS Y SIMILARES
SAN JOSE,VIAS PUBLICAS
SAN ANTONIO,LOCAL COMERCIAL
SAN CARLOS,"COLEGIOS, ESCUELAS"
LA CHINITA,VIAS PUBLICAS
EL RECREO,VIAS PUBLICAS
ABAJO,VEHICULO
CENTRO,VIAS PUBLICAS
ABAJO,VIAS PUBLICAS
ZONA RURAL,FINCAS Y SIMILARES
EL HIPODROMO,VIAS PUBLICAS
EL RECREO,VIAS PUBLICAS
BARRIO CENTRAL,TIENDA
BARRIO CIUDAD JARDIN,CASAS DE HABITACION
BARRIO JOSE JOAQUIN CAMACHO,VIAS PUBLICAS
CHAPATA,CARRETERA
RINCON CAMPESTRE,VIAS PUBLICAS
LA ESTRELLA,VIAS PUBLICAS
LA ENEA,VIAS PUBLICAS
TRES CRUCES,VIAS PUBLICAS
EL CENTRO,VIAS PUBLICAS
EL GAVAN,VIAS PUBLICAS
VILLA DEL PRADO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
EL BAMBU,VIAS PUBLICAS
ALFONSO LOPEZ,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
ARIZONA,FRENTE A RESIDENCIAS - VIA PUBLICA
ARIZONA,FRENTE A RESIDENCIAS - VIA PUBLICA
LOS CORTIJOS,VIAS PUBLICAS
NOVALITO,VIAS PUBLICAS
EL AMPARO,VIAS PUBLICAS
SANTA ROSA,VIAS PUBLICAS
PORVENIR,DENTRO DE LA VIVIENDA
EDMUNDO LÒPEZ,VIAS PUBLICAS
CASERÌO AGUAS NEGRAS,VIAS PUBLICAS
LA SAMARIA,VIAS PUBLICAS
LA GRANJAS,LOCAL COMERCIAL
ALAMOS SUR E-10,ESTACION TRANSMILENIO PORTAL EL DORADO
LAS NIEVES E-3,ESTACION TRANSMILENIO LAS NIEVES
CAMPINHA E-11,VIAS PUBLICAS
LA SOLEDAD E-13,VIAS PUBLICAS
LAS FERIAS E-10,TRANSPORTE PUBLICO
EL TUNAL II E-6,VIAS PUBLICAS
BELALCAZAR E-13,VIAS PUBLICAS
MUZU E-16,CASAS DE HABITACION
MONTEVIDEO E-9,VIAS PUBLICAS
LA CALLEJA E-1,"COLEGIOS, ESCUELAS"
LA CALLEJA E-1,"COLEGIOS, ESCUELAS"
TEUSAQUILLO E-13,VIAS PUBLICAS
CLASS E-8,VIAS PUBLICAS
DIANA TURBAY E-18,VIAS PUBLICAS
PIO XII E-8,VIAS PUBLICAS
LA ESTANZUELA E-14,VIAS PUBLICAS
MONTEBLANCO E-5,VIAS PUBLICAS
URB. LA CORUNHA E-19,VIAS PUBLICAS
SAN MARTIN E-3,VIAS PUBLICAS
ONEIDA  E-8,INTERIOR VEHICULO SITP
BUENA VISTA E-1,TRANSPORTE PUBLICO
RESTREPO E-15,DISCOTECAS
GRAN BRITALIA E-8,ESTACION TRANSMILENIO PORTAL AMERICAS
EL RETIRO E-2,VIAS PUBLICAS
SAN BLAS E-4,VIAS PUBLICAS
LOMBARDIA II E-11,CASAS DE HABITACION
VILLAS DE ARANJUEZ E-1,VIAS PUBLICAS
LAS AMERICAS E-8,VIAS PUBLICAS
VILLA LUZ E-10,VIAS PUBLICAS
EL AMPARO E-8,VIAS PUBLICAS
ROMA  E-8,LOCAL COMERCIAL
RICAURTE E-14,ESTACION TRANSMILENIO RICAURTE (CLL 13)
VALBANERA E-15,VIAS PUBLICAS
PERDOMO ALTO E-19,VIAS PUBLICAS
POLICARPA SALAVARRIETA E-15,VIAS PUBLICAS
CENTRO E-3,ESTACION TRANSMILENIO CALLE 22
NARINHO SUR E-4,VIAS PUBLICAS
LA GIRALDA E-9,VIAS PUBLICAS
GRAN COLOMBIANO E-8,VIAS PUBLICAS
SERAFINA E-4,VIAS PUBLICAS
LLANO GRANDE E-8,VIAS PUBLICAS
VER. SUSAGUA,VIAS PUBLICAS
SAN MIGUEL,VIAS PUBLICAS
MAXIMILIANO MOSCOTE,VIAS PUBLICAS
TRAMO DE VIA,INSTALACIONES DEL EJERCITO
COOPERATIVO,CASAS DE HABITACION
EL OBRERO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
LA TOMA,VIAS PUBLICAS
NUEVA GRANADA,CASAS DE HABITACION
PARAISO,VIAS PUBLICAS
SOLARTE,CASAS DE HABITACION
POPULAR,VIAS PUBLICAS
CENTRO       (C-1),VIAS PUBLICAS
EL CONGO,VIAS PUBLICAS
SAN JOSE,VIAS PUBLICAS
COOPERATIVO,VIAS PUBLICAS
VEGA ORIENTAL,PELUQUERIA Y SIMILARES
LA ESPERANZA,VIAS PUBLICAS
CC. SAN NICOLAS,CASAS DE HABITACION
CATALUNHA,CASAS DE HABITACION
VILLA JULIA,VIAS PUBLICAS
EL EMPORIO,VIAS PUBLICAS
PORFIA,VIAS PUBLICAS
ANTONIO PINILLA,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
CAMILO TORRES,VIAS PUBLICAS
BELLA VISTA,VIAS PUBLICAS
AV. LAS AMERICAS,VIAS PUBLICAS
OBRERO,VIAS PUBLICAS
VILLA RECREO,VIAS PUBLICAS
CENTRO,VIAS PUBLICAS
FATIMA,FRENTE A RESIDENCIAS - VIA PUBLICA
SAN DIEGO,VIAS PUBLICAS
IDEMA,VIAS PUBLICAS
BARRIO SAN LUIS,VIAS PUBLICAS
BARRIO LATINO,VIAS PUBLICAS
BARRIO BLANCO,VIAS PUBLICAS
BARRIO ATALAYA 1 ETAPA,VIAS PUBLICAS
BARRIO CENTRO,DISCOTECAS
BARRIO ANTONIO NARINHO,VIAS PUBLICAS
BARRIO ANTONIO NARINHO,VIAS PUBLICAS
GALAN,VIAS PUBLICAS
SECTOR OCTAVA BRIGADA EJERCOL,LOCAL COMERCIAL
FUNDACIONES,VIAS PUBLICAS
PARQUE PRINCIPAL,VEHICULO
PARQUE PRINCIPAL,VEHICULO
CIUDADELA EL ENSUENHO,VIAS PUBLICAS
SECTOR PARQUE LA LIBERTAD,VIAS PUBLICAS
EL PORVENIR DE CONSOTA,VIAS PUBLICAS
CAIMALITO,VIAS PUBLICAS
SANTA ANA,VIAS PUBLICAS
POZO SIETE,VIAS PUBLICAS
ANTONIA SANTOS,VIAS PUBLICAS
CABECERA DEL LLANO,VIAS PUBLICAS
MINUTO DE DIOS,VIAS PUBLICAS
MEJORAS PUBLICAS,VIAS PUBLICAS
BUGANVILLA,VIAS PUBLICAS
EL CENTRO,CASAS DE HABITACION
LOS COMUNEROS,CASAS DE HABITACION
CENTRO,VIAS PUBLICAS
PINAR,VIAS PUBLICAS
PINAR,VIAS PUBLICAS
ISAIAS OLIVAR,VIAS PUBLICAS
ISAIAS OLIVAR,VIAS PUBLICAS
SANTA MARGARITA MARIA,LOCAL COMERCIAL
LIBERTADOR,VIAS PUBLICAS
CENTRO,CASAS DE HABITACION
VILLA DEL SOL,IGLESIA
LA POLA,VIAS PUBLICAS
LA POLA,VIAS PUBLICAS
CALAMBEO,VIAS PUBLICAS
VRDA. LA LAGUNA,VIAS PUBLICAS
TERRON COLORADO E1,VIAS PUBLICAS
SAN VICENTE E2,INTERIOR VEHICULO SERVICIO PUBLICO
NUEVA GRANADA E19,VIAS PUBLICAS
JOSE M. MARROQUIN II E14,VIAS PUBLICAS
LOS CAMBULOS E19,VIAS PUBLICAS
ALFONSO LOPEZ III E7,VIAS PUBLICAS
SAN NICOLAS E3,ALMACENES
FEPICOL E7,INTERIOR VEHICULO SERVICIO PUBLICO
LILI E17,VIAS PUBLICAS
SANTA MONICA RESIDENCIAL E2,VIAS PUBLICAS
CANEY E17,VIAS PUBLICAS
URBANIZACION BOYACA E11,DENTRO DE LA VIVIENDA
SAN FERNANDO VIEJO E19,ESTACION M.I.O.
BELISARIO CAICEDO E20,FRENTE A RESIDENCIAS - VIA PUBLICA
CALYPSO E13,ESTACION M.I.O.
NUEVA TEQUENDAMA E19,OFICINAS
BENJAMIN HERRERA E8,LOCAL COMERCIAL
MUNICIPAL (23-1),LOCAL COMERCIAL
JUAN PABLO (23-S-2-1),CASAS DE HABITACION
FUEN MAYOR,VIAS PUBLICAS
LOS SAMANES,VIAS PUBLICAS
SAN SEBASTIAN,CASAS DE HABITACION
LA CONCORDIA,PARQUES
VEGAS E25,DENTRO DE LA VIVIENDA
EL CENTRO,VIAS PUBLICAS
LOS BAOS,CASAS DE HABITACION
NIQUIA BIFAMILIAR,VIAS PUBLICAS
SUAREZ,VIAS PUBLICAS
EL CONGOLO,VIAS PUBLICAS
VILLA ARABIA,VIAS PUBLICAS
SIMON BOLIVAR,CASAS DE HABITACION
ALCALA,VIAS PUBLICAS
SAN FERNANDO,VIAS PUBLICAS
SANTA MARIA # 1,VIAS PUBLICAS
BALCONES DE DITAIRES,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
VILLANUEVA C-10,VIAS PUBLICAS
FATIMA C-16,VIAS PUBLICAS
CUARTA BRIGADA C-11,VIAS PUBLICAS
LA CANDELARIA C-10,VIAS PUBLICAS
ANTONIO NARINHO C-13,VIAS PUBLICAS
