MUNICIPIO,SITIO
BUCARAMANGA (CT),LOCAL COMERCIAL
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),TALLERES
FLORIDABLANCA,VIAS PUBLICAS
GIRON,VIAS PUBLICAS
PIEDECUESTA,APARTAMENTO
SINCELEJO (CT),VIAS PUBLICAS
SINCELEJO (CT),VIAS PUBLICAS
AMBALEMA,VIAS PUBLICAS
ESPINAL,VIAS PUBLICAS
HONDA,CASAS DE HABITACION
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),CASAS DE HABITACION
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
ANSERMANUEVO,FINCAS Y SIMILARES
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),CASAS DE HABITACION
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),PANADERIAS
CALI (CT),VIAS PUBLICAS
CALI (CT),PARADERO DE BUSES
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),BUS MASIVO INTEGRAL DE OCCIDENTE M.I.O.
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
EL CERRITO,VIAS PUBLICAS
FLORIDA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
YUMBO,OFICINAS
PUERTO CARRENHO (CT),VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
GUARNE,FINCAS Y SIMILARES
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),CARRETERA
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),PARQUEADERO
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),ESTACION DEL METRO
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
PUERTO BERRIO,INSTALACIONES DEL EJERCITO
RIONEGRO,VIAS PUBLICAS
RIONEGRO,VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),BUS TRANSMETRO
BARRANQUILLA (CT),CASAS DE HABITACION
BARRANQUILLA (CT),VIAS PUBLICAS
SOLEDAD,GIMNASIO
SOLEDAD,VIAS PUBLICAS
SOLEDAD,VIAS PUBLICAS
CARTAGENA (CT),PLAYA
CARTAGENA (CT),VIAS PUBLICAS
MAGANGUE,VIAS PUBLICAS
CHIQUINQUIRA,VIAS PUBLICAS
COMBITA,CARCELES
DUITAMA,OFICINAS
TUNJA (CT),ALMACENES
TUNJA (CT),VIAS PUBLICAS
TUNJA (CT),UNIVERSIDADES
MANIZALES (CT),APARTAMENTO
MANIZALES (CT),APARTAMENTO
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),RESTAURANTES
FLORENCIA (CT),CLINICAS Y SIMILARES
OROCUE,VIAS PUBLICAS
MORALES (CAUCA),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
EL COPEY,VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),ALMACENES
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO RICAURTE (CLL 13)
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),CAFETERIAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO PORTAL USME
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VEHICULO
BOGOTA D.C. (CT),INTERIOR VEHICULO SITP
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO UNIVERSIDADES
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),INTERIOR VEHICULO SITP
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO NARINHO
BOGOTA D.C. (CT),VIAS PUBLICAS
FACATATIVA,FRENTE A ALMACEN - VIA PUBLICA
RIOHACHA (CT),CARRETERA
RIOHACHA (CT),VIAS PUBLICAS
NEIVA (CT),"COLEGIOS, ESCUELAS"
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
CIENAGA,VIAS PUBLICAS
EL BANCO,CASAS DE HABITACION
PLATO,VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),CASAS DE HABITACION
SANTA MARTA (CT),CASAS DE HABITACION
SANTA MARTA (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),TRANSPORTE PUBLICO
VILLAVICENCIO (CT),VEHICULO
VILLAVICENCIO (CT),VEHICULO
VILLAVICENCIO (CT),VEHICULO
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),TIENDA
VILLAVICENCIO (CT),TIENDA
VILLAVICENCIO (CT),"HOTELES, RESIDENCIAS, Y SIMILARES."
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),PARQUES
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),FRENTE A COLEGIO - VIA PUBLICA
SAN PEDRO DE CARTAGO,VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
CUCUTA (CT),TRANSPORTE PUBLICO
CUCUTA (CT),TRANSPORTE PUBLICO
CUCUTA (CT),TRANSPORTE PUBLICO
CUCUTA (CT),TRANSPORTE PUBLICO
CUCUTA (CT),TRANSPORTE PUBLICO
CUCUTA (CT),VIAS PUBLICAS
OCANHA,VIAS PUBLICAS
VILLA DEL ROSARIO,VIAS PUBLICAS
MOCOA (CT),VIAS PUBLICAS
ARMENIA (CT),"COLEGIOS, ESCUELAS"
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
LA TEBAIDA,TRAMO DE VIA
DOSQUEBRADAS,ALMACENES
PEREIRA (CT),INTERIOR VEHICULO SERVICIO PUBLICO
PEREIRA (CT),DISCOTECAS
BARBOSA,VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),CASAS DE HABITACION
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),PARQUES
BUCARAMANGA (CT),VIAS PUBLICAS
FLORIDABLANCA,FRENTE A COLEGIO - VIA PUBLICA
FLORIDABLANCA,LOCAL COMERCIAL
FLORIDABLANCA,INTERIOR VEHICULO PARTICULAR
GIRON,VIAS PUBLICAS
PIEDECUESTA,LOCAL COMERCIAL
PIEDECUESTA,CASAS DE HABITACION
PIEDECUESTA,VIAS PUBLICAS
COROZAL,VIAS PUBLICAS
COROZAL,CASAS DE HABITACION
MORROA,CASAS DE HABITACION
SINCELEJO (CT),TERMINAL DE TRANSPORTES
SINCELEJO (CT),VIAS PUBLICAS
SINCELEJO (CT),VIAS PUBLICAS
SINCELEJO (CT),VIAS PUBLICAS
SINCELEJO (CT),VIAS PUBLICAS
ESPINAL,VIAS PUBLICAS
IBAGUE (CT),SUPERMERCADOS
IBAGUE (CT),PARQUES
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),TIENDA
IBAGUE (CT),VIAS PUBLICAS
ANSERMANUEVO,VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),LOCAL COMERCIAL
CALI (CT),ESTACION M.I.O.
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),DENTRO DE LA VIVIENDA
CALI (CT),DENTRO DE LA VIVIENDA
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),LOCAL COMERCIAL
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),SEMAFORO
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CARTAGO,VIAS PUBLICAS
JAMUNDI,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
TULUA,VIAS PUBLICAS
LETICIA (CT),CANCHA DE FUTBOL
BARBOSA,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,CASAS DE HABITACION
BELLO,VIAS PUBLICAS
CAUCASIA,VIAS PUBLICAS
COPACABANA,VIAS PUBLICAS
ENVIGADO,VIAS PUBLICAS
ITAGUI,"HOTELES, RESIDENCIAS, Y SIMILARES."
MARINILLA,VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),CENTRO COMERCIAL
MEDELLIN (CT),PARQUES
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),DISCOTECAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),ESTACION DEL METRO
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
RIONEGRO,CASAS DE HABITACION
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
SABANAGRANDE,CASAS DE HABITACION
CANTAGALLO,VIAS PUBLICAS
EL CARMEN DE BOLIVAR,ESTADERO
SAN ESTANISLAO,VIAS PUBLICAS
GARAGOA,VIAS PUBLICAS
SORACA,VIAS PUBLICAS
TUNJA (CT),VIAS PUBLICAS
CHINCHINA,VIAS PUBLICAS
LA DORADA,VIAS PUBLICAS
MANIZALES (CT),APARTAMENTO
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),VIAS PUBLICAS
FLORENCIA (CT),SOBRE ANDEN - VIA PUBLICA
YOPAL (CT),BILLARES
YOPAL (CT),VIAS PUBLICAS
MIRANDA,VIAS PUBLICAS
MIRANDA,VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),PELUQUERIA Y SIMILARES
POPAYAN (CT),LOCAL COMERCIAL
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
VILLA RICA,VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
MONTERIA (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),INTERIOR VEHICULO SERVICIO PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO RICAURTE (CLL 13)
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO RICAURTE (CLL 13)
BOGOTA D.C. (CT),ESTACION TRANSMILENIO RICAURTE (CLL 13)
BOGOTA D.C. (CT),ESTACION TRANSMILENIO RICAURTE (CLL 13)
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),INTERIOR VEHICULO SERVICIO PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),LOCAL COMERCIAL
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),CASAS DE HABITACION
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),PARADERO DE BUSES
BOGOTA D.C. (CT),PARADERO DE BUSES
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),LOCAL COMERCIAL
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),ESTACION TRANSMILENIO RICAURTE (CLL 13)
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),TRANSPORTE PUBLICO
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
GIRARDOT,VIAS PUBLICAS
GIRARDOT,VIAS PUBLICAS
RIOHACHA (CT),PLAZAS DE MERCADO
SAN JOSE DEL GUAVIARE (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),INTERIOR VEHICULO PARTICULAR
NEIVA (CT),VIAS PUBLICAS
PITALITO,VIAS PUBLICAS
RIVERA,TRAMO DE VIA
SANTA MARTA (CT),LOCAL COMERCIAL
SANTA MARTA (CT),LOCAL COMERCIAL
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
GRANADA,VIAS PUBLICAS
GRANADA,VIAS PUBLICAS
PUERTO GAITAN,VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
VILLAVICENCIO (CT),VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),FRENTE A RESIDENCIAS - VIA PUBLICA
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),PARQUES
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
PASTO (CT),"DROGUERIAS, FARMACIAS"
CUCUTA (CT),VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
ARMENIA (CT),CASAS DE HABITACION
MONTENEGRO,TRAMO DE VIA
QUIMBAYA,TIENDA
DOSQUEBRADAS,PELUQUERIA Y SIMILARES
LA VIRGINIA,LOCAL COMERCIAL
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),VIAS PUBLICAS
PEREIRA (CT),INTERIOR VEHICULO SERVICIO PUBLICO
PEREIRA (CT),CASAS DE HABITACION
SANTA ROSA DE CABAL,VIAS PUBLICAS
SAN ANDRES (CT),VIAS PUBLICAS
SAN ANDRES (CT),VIAS PUBLICAS
SAN ANDRES (CT),VIAS PUBLICAS
BARRANCABERMEJA,SECTOR COMERCIO
BARRANCABERMEJA,CASAS DE HABITACION
BUCARAMANGA (CT),UNIVERSIDADES
BUCARAMANGA (CT),LOCAL COMERCIAL
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),INTERIOR VEHICULO SERVICIO PUBLICO
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),VIAS PUBLICAS
BUCARAMANGA (CT),CASAS DE HABITACION
FLORIDABLANCA,LAVA-AUTOS
PIEDECUESTA,VIAS PUBLICAS
SINCELEJO (CT),VIAS PUBLICAS
CHAPARRAL,VIAS PUBLICAS
ESPINAL,"HOTELES, RESIDENCIAS, Y SIMILARES."
IBAGUE (CT),RESTAURANTES
IBAGUE (CT),VIAS PUBLICAS
IBAGUE (CT),VIAS PUBLICAS
LERIDA,VIAS PUBLICAS
MELGAR,VIAS PUBLICAS
BUENAVENTURA,FRENTE A ALMACEN - VIA PUBLICA
BUENAVENTURA,CASAS DE HABITACION
BUENAVENTURA,VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),PUENTE PEATONAL
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),FRENTE CLINICA U HOSPITAL - VIA PUBLICA
CALI (CT),CASAS DE HABITACION
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),VIAS PUBLICAS
CALI (CT),INTERIOR VEHICULO PARTICULAR
CALI (CT),ESTACION M.I.O.
GUADALAJARA DE BUGA,"BARES, CANTINAS Y SIMILARES"
JAMUNDI,VIAS PUBLICAS
PALMIRA,VIAS PUBLICAS
TULUA,CENTRO COMERCIAL
YUMBO,VIAS PUBLICAS
YUMBO,VIAS PUBLICAS
LETICIA (CT),"HOTELES, RESIDENCIAS, Y SIMILARES."
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
BELLO,VIAS PUBLICAS
CALDAS,INTERIOR VEHICULO PARTICULAR
ITAGUI,VIAS PUBLICAS
MARINILLA,VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),"HOTELES, RESIDENCIAS, Y SIMILARES."
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),"BARES, CANTINAS Y SIMILARES"
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
MEDELLIN (CT),VIAS PUBLICAS
RIONEGRO,FINCAS Y SIMILARES
RIONEGRO,PARQUEADERO
RIONEGRO,VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
BARRANQUILLA (CT),VIAS PUBLICAS
PONEDERA,LOCAL COMERCIAL
CARTAGENA (CT),VIAS PUBLICAS
SIMITI,CASAS DE HABITACION
CHIQUINQUIRA,CASAS DE HABITACION
CHIQUINQUIRA,CASAS DE HABITACION
VILLA DE LEYVA,RESTAURANTES
CHINCHINA,VIAS PUBLICAS
LA DORADA,VIAS PUBLICAS
LA DORADA,VIAS PUBLICAS
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),VIAS PUBLICAS
MANIZALES (CT),INTERIOR VEHICULO SERVICIO PUBLICO
RIOSUCIO,VIAS PUBLICAS
SAMANA,"HOTELES, RESIDENCIAS, Y SIMILARES."
FLORENCIA (CT),VIAS PUBLICAS
FLORENCIA (CT),DISCOTECAS
PUERTO RICO,VIAS PUBLICAS
YOPAL (CT),VIAS PUBLICAS
YOPAL (CT),VIAS PUBLICAS
CALOTO,VIAS PUBLICAS
MIRANDA,VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),LIBRERIAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
POPAYAN (CT),VIAS PUBLICAS
SANTANDER DE QUILICHAO,CARRETERA
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
VALLEDUPAR (CT),VIAS PUBLICAS
MONTERIA (CT),CASAS DE HABITACION
MONTERIA (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),PARQUES
BOGOTA D.C. (CT),LOCAL COMERCIAL
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),RESTAURANTES
BOGOTA D.C. (CT),VIAS PUBLICAS
BOGOTA D.C. (CT),VIAS PUBLICAS
LA MESA,FINCAS Y SIMILARES
FONSECA,VIAS PUBLICAS
MAICAO,CASAS DE HABITACION
SAN JOSE DEL GUAVIARE (CT),CASAS DE HABITACION
GARZON,VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
NEIVA (CT),VIAS PUBLICAS
RIVERA,TRAMO DE VIA
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),CASAS DE HABITACION
SANTA MARTA (CT),VIAS PUBLICAS
SANTA MARTA (CT),VIAS PUBLICAS
ACACIAS,VIAS PUBLICAS
CUMARAL,PARQUES
VILLAVICENCIO (CT),CALLEJON
VILLAVICENCIO (CT),VIAS PUBLICAS
IPIALES,VIAS PUBLICAS
PASTO (CT),CASAS DE HABITACION
PASTO (CT),VIAS PUBLICAS
PASTO (CT),PARQUES
PASTO (CT),VIAS PUBLICAS
PASTO (CT),VIAS PUBLICAS
TUQUERRES,PARQUES
TUQUERRES,VIAS PUBLICAS
TUQUERRES,VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
CUCUTA (CT),VIAS PUBLICAS
ARMENIA (CT),VIAS PUBLICAS
