MUNICIPIO,BARRIO
BOGOTA D.C. (CT),DIANA TURBAY E-18
BOGOTA D.C. (CT),CENTRO E-3
BOGOTA D.C. (CT),BARRIOS UNIDOS E-12
BOGOTA D.C. (CT),CHICO I E-2
BOGOTA D.C. (CT),CIUDAD KENNEDY OCC E-8
BOGOTA D.C. (CT),TEUSAQUILLO E-13
BOGOTA D.C. (CT),VILLA DEL PRADO NVA E-11
BOGOTA D.C. (CT),EL TUNAL II E-6
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),RAFAEL NUNEZ E-13
BOGOTA D.C. (CT),SAN JOAQUIN DEL VATICANO E-19
BOGOTA D.C. (CT),CAMPANELLA E-11
BOGOTA D.C. (CT),SUCRE E-2
BOGOTA D.C. (CT),POLO CLUB E-12
BOGOTA D.C. (CT),URB. ZONA INDUSTRIAL E-16
BOGOTA D.C. (CT),EL SOCORRO E-18
BOGOTA D.C. (CT),URB. GALICIA E-19
BOGOTA D.C. (CT),LAS AGUAS E-3
BOGOTA D.C. (CT),ALFONSO LOPEZ SECTOR CHARALA E-5
BOGOTA D.C. (CT),NUEVO MUZO II SECTOR I ETAPA E-6
BOGOTA D.C. (CT),EL REFUGIO E-9
BOGOTA D.C. (CT),URB. LA ALQUERIA E-16
BOGOTA D.C. (CT),LA ISABELA I E-10
BOGOTA D.C. (CT),URB. EL REMANSO E-16
BOGOTA D.C. (CT),CENTRO ADMINISTRATIVO E-17
SOPO,CENTRO
RIOHACHA (CT),LUIS EDUARDO CUELLAR
VILLANUEVA,SECTOR DE LA VARIANTE
LA PLATA,EL PORTAL I ETAPA
LA PLATA,EL PORTAL I ETAPA
NEIVA (CT),LA GAITANA
PALERMO,JULIAN POLANIA
PITALITO,PRIMAVERA
CIENAGA,OBRERO
SANTA MARTA (CT),ENSENADA JUAN XXIII 1-2
SANTA MARTA (CT),TAGANGA
SANTA MARTA (CT),JARDIN
VILLAVICENCIO (CT),VILLA JULIA
VILLAVICENCIO (CT),DONHA LUZ
VILLAVICENCIO (CT),VEREDA EL CARMEN
VILLAVICENCIO (CT),SOSIEGO
VILLAVICENCIO (CT),CENTRO
IPIALES,BENJAMIN HERRERA
PASTO (CT),POTRERILLO
PASTO (CT),SAN FELIPE
PASTO (CT),LAS CUADRAS
PASTO (CT),CHAPAL
PASTO (CT),LORENZO
PASTO (CT),BETANIA
PASTO (CT),CENTRO
PASTO (CT),PARQUE BOLIVAR
PASTO (CT),VILLAFLOR II
PASTO (CT),AQUINE III
PASTO (CT),SAN MIGUEL
PASTO (CT),SUMATAMBO
PASTO (CT),LA AURORA
PASTO (CT),PALERMO
PASTO (CT),CAICEDO ALTO
CUCUTA (CT),BARRIO ALFONSO LOPEZ
CUCUTA (CT),BARRIO GAITAN
DOSQUEBRADAS,FRAYLES
DOSQUEBRADAS,LA GRACIELA
PEREIRA (CT),GALICIA ALTA
PEREIRA (CT),PUEBLITO CAFETERO
PEREIRA (CT),SECTOR PLAZA DE BOLIVAR
PEREIRA (CT),CIUDADELA DEL CAFE
PEREIRA (CT),CENTRO (A) PEREIRA
SANTA ROSA DE CABAL,B. CENTRO
BUCARAMANGA (CT),RICAURTE
BUCARAMANGA (CT),ESPERANZA III
BUCARAMANGA (CT),CONUCOS
BUCARAMANGA (CT),CONUCOS
BUCARAMANGA (CT),BUCARAMANGA
BUCARAMANGA (CT),CENTRO
BUCARAMANGA (CT),NUEVO SOTOMAYOR
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),SAN ALONSO
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),SAN MIGUEL
BUCARAMANGA (CT),SAN ALONSO
BUCARAMANGA (CT),URB. BAVARIA
FLORIDABLANCA,CIUDAD VALENCIA
GIRON,CASA LINDA
GIRON,POBLADO
PIEDECUESTA,SANTILLANA
PIEDECUESTA,SAN CRISTOBAL P/TA
SINCELEJO (CT),AV OKALA SECTOR TRANSPORTE PUEBLOS
IBAGUE (CT),ESTACION
CALI (CT),LAS GRANJAS E10
CALI (CT),VILLA DEL PRADO - EL GUABITO E5
CALI (CT),LAS ACACIAS E10
CALI (CT),LA FLORA E2
CALI (CT),MELENDEZ E18
CALI (CT),MUNICIPAL E8
CALI (CT),CGTO LA BUITRERA E18
CALI (CT),LAS ORQUIDEAS E14
CALI (CT),ULPIANO LLOREDA E13
CALI (CT),ULPIANO LLOREDA E13
CALI (CT),BELALCAZAR E9
CALI (CT),CIUDAD CORDOBA E15
CALI (CT),EL RETIRO E15
CALI (CT),LAS QUINTAS DE DON SIMON E17
CALI (CT),CRISTOBAL COLON E10
CALI (CT),SUCRE E9
CALI (CT),SAN PEDRO E3
CALI (CT),VERSALLES E2
YUMBO,ARROYOHONDO ZONA INDUSTRIAL (25-2)
CAUCASIA,LA COLOMBIANITA
ENVIGADO,PRIMAVERA
ITAGUI,SAN PIO
ITAGUI,SAN FERNANDO
LA ESTRELLA,ZONA CENTRO
MEDELLIN (CT),CALAZANS C-12
MEDELLIN (CT),BRASILIA  C-4
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),CENTRO S.C.
MEDELLIN (CT),PARQUE NORTE C-4
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),GUAYAQUIL C-10
MEDELLIN (CT),MORAVIA  C-4
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),LAS PLAYAS C-16
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),SAN BERNARDO C-16
MEDELLIN (CT),UNIVERSIDAD NACIONAL C-7
ARAUCA (CT),MIRAMAR
BARRANQUILLA (CT),LA CEIBA
BARRANQUILLA (CT),SIMON BOLIVAR
BARRANQUILLA (CT),SANTO DOMINGO DE GUZMAN
BARRANQUILLA (CT),SIMON BOLIVAR
CARTAGENA (CT),NELSON MANDELA
CARTAGENA (CT),PIE DEL CERRO
CHIQUINQUIRA,BARRIO CENTRO
DUITAMA,RINCON DE LA FLORESTA
MUZO,LA CHAMA
SOGAMOSO,EL JARDIN
TUNJA (CT),CENTRO
MANIZALES (CT),BARRIO LOS CEDROS
MANIZALES (CT),CENTRO
MANIZALES (CT),SECTOR EL CABLE
FLORENCIA (CT),EL CENTRO
FLORENCIA (CT),LA INMACULADA
YOPAL (CT),BELLO HORIZONTE
POPAYAN (CT),CENTRO
VALLEDUPAR (CT),LOS MUSICOS
VALLEDUPAR (CT),ALFONSO LOPEZ
VALLEDUPAR (CT),VEREDA
BOGOTA D.C. (CT),MEISSEN E-19
BOGOTA D.C. (CT),TORRELADERA CASABLANCA E-11
BOGOTA D.C. (CT),LISBOA E-11
BOGOTA D.C. (CT),TEUSAQUILLO E-13
BOGOTA D.C. (CT),LA VICTORIA E-4
BOGOTA D.C. (CT),SUCRE E-2
BOGOTA D.C. (CT),SUCRE E-2
BOGOTA D.C. (CT),LA SOLEDAD E-13
BOGOTA D.C. (CT),GRAN BRITALIA E-8
BOGOTA D.C. (CT),AEROPUERTO EL DORADO
BOGOTA D.C. (CT),CHICO NORTE III SECTOR E-2
BOGOTA D.C. (CT),ANTIGUO COUNTRY E-2
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),VEINTE DE JULIO E-4
BOGOTA D.C. (CT),ZONA INDUSTRIAL LAS GRANJAS E-16
BOGOTA D.C. (CT),URB. PASADENA E-11
BOGOTA D.C. (CT),EL POA E-11
BOGOTA D.C. (CT),URB. PALENQUE E-8
BOGOTA D.C. (CT),EL POA E-11
BOGOTA D.C. (CT),VENECIA E-6
BOGOTA D.C. (CT),VILLA DEL PRADO E-11
BOGOTA D.C. (CT),OLARTE E-7
BOGOTA D.C. (CT),PALOQUEMAO E-14
BOGOTA D.C. (CT),SANTA TERESITA E-13
BOGOTA D.C. (CT),PIO XII E-8
BOGOTA D.C. (CT),CLARETIANO E-7
BOGOTA D.C. (CT),LA GRANJA E-10
BOGOTA D.C. (CT),CIUDAD SALITRE II E-13
BOGOTA D.C. (CT),GUACAMAYAS III E-4
BOGOTA D.C. (CT),VENECIA E-6
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),PERDOMO E-19
BOGOTA D.C. (CT),PASADENA ROYAL E-11
BOGOTA D.C. (CT),EL RESTREPO E-15
BOGOTA D.C. (CT),LA PRADERA NORTE E-16
BOGOTA D.C. (CT),SAN CRISTOBAL E-1
BOGOTA D.C. (CT),AMAPARO CANHIZARES E-8
BOGOTA D.C. (CT),GLORIA LARA DE ECHEVERRY II ETAPA E-11
BOGOTA D.C. (CT),ARMENIA E-13
BOGOTA D.C. (CT),LA COLMENA E-4
SOACHA,RINCON DE SANTAFE
RIOHACHA (CT),CENTRO
RIOHACHA (CT),CORREGIMIENTO DE VILLA MARTIN
RIOHACHA (CT),LA COSECHA
CAMPOALEGRE,CLEMENTINA
NEIVA (CT),CHAPINERO
PALERMO,VEREDA AMBORCO
EL BANCO,LAS AMERICAS
SANTA MARTA (CT),VILLA DEL MAR
SANTA MARTA (CT),LA LUCHA
SANTA MARTA (CT),CIUDADELA 29 DE JULIO
SANTA MARTA (CT),LA ESPERANZA
ACACIAS,SAN JOSE
VILLAVICENCIO (CT),AY MI LLANURA
VILLAVICENCIO (CT),BOSQUES DE ABAJAM*
VILLAVICENCIO (CT),SAN ISIDRO
VILLAVICENCIO (CT),ANTONIO RICAUTE
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),SANTA INES
VILLAVICENCIO (CT),BOSQUE
PASTO (CT),ALTOS DE CHAPALITO
PASTO (CT),LA COLINA
PASTO (CT),AV. ESTUDIANTES
PASTO (CT),CENTRO
CUCUTA (CT),BARRIO CARORA
CUCUTA (CT),BARRIO LA PLAYA
CUCUTA (CT),BARRIO CHAPINERO
CUCUTA (CT),BARRIO LATINO
CUCUTA (CT),BARRIO NIZA
VILLA DEL ROSARIO,CORREGIMIENTO LA PARADA
ARMENIA (CT),UNIVERSAL
ARMENIA (CT),"MONTEBLANCO  I,II Y III"
ARMENIA (CT),LOS ABORIGENES
ARMENIA (CT),CENTRO
DOSQUEBRADAS,SECTOR EL CRUCERO
DOSQUEBRADAS,CAMPESTRE B
PEREIRA (CT),SECTOR MERCASA
PEREIRA (CT),EL TULCAN II
SANTA ROSA DE CABAL,B. CENTRO
BARRANCABERMEJA,KENNEDY
BUCARAMANGA (CT),BOLIVAR
BUCARAMANGA (CT),DIAMANTE I
BUCARAMANGA (CT),ALVAREZ
BUCARAMANGA (CT),SAN FRANCISCO
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),SAN ALONSO
BUCARAMANGA (CT),SOTOMAYOR
BUCARAMANGA (CT),COMUNEROS
BUCARAMANGA (CT),GARCIA ROVIRA
CHINCHINA,CENTRO
BUCARAMANGA (CT),SAN GERARDO
FLORIDABLANCA,SAN BERNARDO
FLORIDABLANCA,SANTA HELENA DE LA SIERRA
PIEDECUESTA,NUEVA COLOMBIA
SINCELEJO (CT),PUERTA ROJA
SINCELEJO (CT),VILLA  MADY
IBAGUE (CT),RESTREPO
IBAGUE (CT),MODELIA
IBAGUE (CT),MIROLINDO
IBAGUE (CT),JORDAN MUTIFAMILIARES
IBAGUE (CT),GALAN
IBAGUE (CT),20 DE JULIO
IBAGUE (CT),CENTRO
IBAGUE (CT),LA CASTELLANA
IBAGUE (CT),LA CASTELLANA
CALI (CT),URB. MILITAR E19
CALI (CT),PAMPA LINDA E19
CALI (CT),MARIO CORREA RENGIFO E18
CALI (CT),LA GRAN COLOMBIA E11
CALI (CT),SAN LUIS E6
CALI (CT),SALOMIA E4
CALI (CT),BRISAS DEL LIMONAR E16
CALI (CT),JOSE M. MARROQUIN II E14
CALI (CT),SAN NICOLAS E3
CALI (CT),ALFONSO LOPEZ I E7
CALI (CT),ALFONSO LOPEZ I E7
CALI (CT),ALFONSO B. ARAGON E14
CALI (CT),PORVENIR E4
CALI (CT),LOS COMUNEROS II E13
CALI (CT),EL INGENIO E17
CALI (CT),POPULAR E4
CALI (CT),CALYPSO E13
CALI (CT),CALYPSO E13
CALI (CT),SANTA ISABEL E19
DAGUA,CORREGIMIENTO BORRERO AYERBE
EL CERRITO,CHAPINER
PALMIRA,EL TREBOL
ROLDANILLO,CENTRO
VIJES,VILLA ESPERANZA (26-2)
YUMBO,URIBE E25
BELLO,ZONA CENTRO
ENVIGADO,EL CHOCHO
ENVIGADO,SAN MARCOS
MEDELLIN (CT),HECTOR ABAD GOMEZ C-5
MEDELLIN (CT),NARANJAL C-11
MEDELLIN (CT),ALEJANDRIA C-14
MEDELLIN (CT),CALAZANS C-12
MEDELLIN (CT),PARQUE NORTE C-4
MEDELLIN (CT),ESTACION VILLA C-10
MEDELLIN (CT),VILLANUEVA C-10
MEDELLIN (CT),LA PILARICA C-7
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),SAN BENITO C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
BARRANQUILLA (CT),EL PORVENIR
BARRANQUILLA (CT),EL BOSQUE
BARRANQUILLA (CT),CENTRO
BARRANQUILLA (CT),EL BOSQUE
BARRANQUILLA (CT),EL BOSQUE
ARJONA,PERIMETRO RURAL
ARJONA,PERIMETRO RURAL
GARAGOA,CENTRO
GARAGOA,CENTRO
SOGAMOSO,BARRIO GUSTAVO JIMENEZ
CHINCHINA,CENTRO
MANIZALES (CT),PERALONSO
MANIZALES (CT),NEVADO
MANIZALES (CT),PALOGRANDE
VILLAMARIA,CENTRO
FLORENCIA (CT),SAN JUDAS
YOPAL (CT),EL CENTRO
MIRANDA,EL JARDIN
POPAYAN (CT),VARIANTE NORTE
POPAYAN (CT),CADILLAL
POPAYAN (CT),CENTRO
VALLEDUPAR (CT),GARUPAL I
VALLEDUPAR (CT),DANGON
MONTELIBANO,LA CANDELARIA
MONTERIA (CT),BUENAVISTA
MONTERIA (CT),PANZENU
MONTERIA (CT),LA CASTELLANA
SAHAGUN,PORVENIR
BOGOTA D.C. (CT),PALOQUEMAO E-14
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),RICAURTE E-14
BOGOTA D.C. (CT),BELLA SUIZA E-1
BOGOTA D.C. (CT),CIUDAD SALITRE SPMZ II - 3-6-9 E-13
BOGOTA D.C. (CT),VEINTE DE JULIO E-4
BOGOTA D.C. (CT),SAN BERNARDO E-3
BOGOTA D.C. (CT),VERSALLES E-9
BOGOTA D.C. (CT),LA PAZ BOSA E-7
BOGOTA D.C. (CT),LA ESPERANZA E-19
BOGOTA D.C. (CT),LA CASTELLANA E-12
BOGOTA D.C. (CT),TOBERIN ORIENTAL E-1
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),QUINTA RAMOS E-4
BOGOTA D.C. (CT),ANTONIA SANTOS E-7
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),EL CODITO E-1
BOGOTA D.C. (CT),CENTRO COMERCIAL UNICENTRO E-1
BOGOTA D.C. (CT),RAFAEL NUNEZ E-13
BOGOTA D.C. (CT),URB. LOS COMUNEROS E-16
BOGOTA D.C. (CT),SAN CRISTOBAL ALTO E-4
BOGOTA D.C. (CT),LA RESURRECCION II E-18
BOGOTA D.C. (CT),SUCRE E-2
BOGOTA D.C. (CT),SANTA FE E-14
BOGOTA D.C. (CT),SAN LUIS 20 DE JULIO E-4
BOGOTA D.C. (CT),CLASS E-8
BOGOTA D.C. (CT),URB. MARSELLA E-8
BOGOTA D.C. (CT),LUCERO ALTO E-19
BOGOTA D.C. (CT),QUIROGA IHS ETAPA E-18
BOGOTA D.C. (CT),LA CATEDRAL E-17
BOGOTA D.C. (CT),SAN DIEGO E-3
BOGOTA D.C. (CT),EL CENTENARIO E-18
BOGOTA D.C. (CT),CHICO I E-2
BOGOTA D.C. (CT),RESTREPO E-15
BOGOTA D.C. (CT),SANTA INES E-3
BOGOTA D.C. (CT),LA FAVORITA E-14
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),URB. SAN PATRICIO E-1
BOGOTA D.C. (CT),LAS NIEVES E-3
BOGOTA D.C. (CT),TONOLI E-8
BOGOTA D.C. (CT),SAN MATEO E-10
BOGOTA D.C. (CT),EL EJIDO E-16
BOGOTA D.C. (CT),LOURDES E-2
BOGOTA D.C. (CT),LA ESTACION E-7
BOGOTA D.C. (CT),URB. MARSELLA E-8
BOGOTA D.C. (CT),EL RINCON E-11
BOGOTA D.C. (CT),EL RINCON E-11
BOGOTA D.C. (CT),LOS SAUCES E-16
BOGOTA D.C. (CT),CANDELARIA III-IV E-19
BOGOTA D.C. (CT),URB. MAZUREN I SECTOR E-11
BOGOTA D.C. (CT),LAS QUINTAS DEL SUR E-19
CAJICA,CENTRO
RIOHACHA (CT),LUIS EDUARDO CUELLAR
VILLANUEVA,SAN LUIS
GARZON,EL PROGRESO
ISNOS,CENTRO
NEIVA (CT),CENTRO
NEIVA (CT),ALBERTO GALINDO
NEIVA (CT),ALBERTO GALINDO
NEIVA (CT),LAS  MERCEDES
NEIVA (CT),VEREDA EL VENADO
SANTA MARTA (CT),PORTAL DE LAS AVENIDAS
SAN MARTIN,CENTRO
VILLAVICENCIO (CT),SOSIEGO
VILLAVICENCIO (CT),CANTARRANA I
VILLAVICENCIO (CT),INDUSTRIAL
PASTO (CT),CAICEDO ALTO
PASTO (CT),MIJITAJO BAJO
PASTO (CT),JULIAN BUCHELI
PASTO (CT),TEJAR
PASTO (CT),AVENIDA BOYACA
PASTO (CT),IDEMA
PASTO (CT),ALTOS DE CHAPALITO
PASTO (CT),SAN FELIPE
PASTO (CT),TEQUENDAMA
PASTO (CT),ATAHUALPA
PASTO (CT),ESMERALDA
PASTO (CT),SAN FERNANDO
PASTO (CT),SAN ANDRESITO
SAN ANDRES DE TUMACO,20 DE JULIO
CUCUTA (CT),BARRIO CLARET
CUCUTA (CT),BARRIO LATINO
CUCUTA (CT),BARRIO CHAPINERO
CUCUTA (CT),BARRIO LA VICTORIA
PAMPLONA,BARRIO CENTRO
MOCOA (CT),BOLIVAR
VILLAGARZON,CENTRO
ARMENIA (CT),SANTA RITA
ARMENIA (CT),CORBONES
CALARCA,"GUADUALES I,II,III,IV"
CALARCA,VDA.LA BELLA
CIRCASIA,LA PILASTRA
PIJAO,ZONA CENTRO
DOSQUEBRADAS,LA ESNEDA
PEREIRA (CT),CENTRO (A) PEREIRA
PEREIRA (CT),CACHIPAY
PEREIRA (CT),LA REBECA.
PEREIRA (CT),SECTOR PARQUE EL LAGO
PEREIRA (CT),UNIVERSIDAD TECNOLOGICA
PEREIRA (CT),EL CANAAN
SAN ANDRES (CT),SECTOR CENTRO
BARRANCABERMEJA,LA VICTORIA
BARRANCABERMEJA,LA VICTORIA
BARRANCABERMEJA,BUENOS AIRES
BARRANCABERMEJA,COLOMBIA
BUCARAMANGA (CT),RICAURTE
BUCARAMANGA (CT),COMUNEROS
BUCARAMANGA (CT),SAN ALONSO
BUCARAMANGA (CT),ALVAREZ
BUCARAMANGA (CT),CABECERA DEL LLANO
BUCARAMANGA (CT),LA CONCORDIA
BUCARAMANGA (CT),ALARCON
BUCARAMANGA (CT),LA AURORA
BUCARAMANGA (CT),SANTANDER
FLORIDABLANCA,PALOMITAS
FLORIDABLANCA,EL CARMEN I
FLORIDABLANCA,EL CARMEN I
FLORIDABLANCA,CASCO ANTIGUO DE FLORIDABLANCA
FLORIDABLANCA,CASCO ANTIGUO DE FLORIDABLANCA
GIRON,LAS NIEVES
GIRON,BAHONDO
GIRON,POBLADO
GIRON,POBLADO
GIRON,EL PALENQUE
RIONEGRO,LOS ALAMOS
SINCELEJO (CT),CENTRO
SINCELEJO (CT),URB. TACALOA
IBAGUE (CT),ARADO PARTE ALTA
IBAGUE (CT),LA GRANJA
IBAGUE (CT),LA GRANJA
IBAGUE (CT),MIROLINDO
CALI (CT),SAN JOAQUIN E17
CALI (CT),PORVENIR E4
CALI (CT),SAN PEDRO E3
CALI (CT),REPUBLICA ISRAEL E16
CALI (CT),JUNIN E9
CALI (CT),EL LIMONAR E17
CALI (CT),PUERTAS DEL SOL E14
CALI (CT),MOJICA E15
CALI (CT),REPUBLICA ISRAEL E16
CALI (CT),EL CALVARIO E3
CALI (CT),PUERTO MALLARINO E7
CALI (CT),BELEN E20
CALI (CT),LOS GUAYACANES E5
GUADALAJARA DE BUGA,EL CARMELO
PALMIRA,LLANO GRANDE
PALMIRA,PALMERAS DE ORIENTE
PRADERA,SAN ROQUE
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),CASTILLA C-5
MEDELLIN (CT),ANDALUCIA  C-2
MEDELLIN (CT),MANRIQUE 2  C-3
MEDELLIN (CT),ESTADIO C-11
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),SAN BENITO C-10
MEDELLIN (CT),SANTO DOMINGO  1 C-1
MEDELLIN (CT),CARIBE C-5
MEDELLIN (CT),GIRARDOT C-5
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),LA ALPUJARRA C-10
BARRANQUILLA (CT),EL PARAISO
BARRANQUILLA (CT),EL PARAISO
BARRANQUILLA (CT),EL PARAISO
BARRANQUILLA (CT),LA LUZ
BARRANQUILLA (CT),BARLOVENTO
BARRANQUILLA (CT),VILLAS DE LA CORDIALIDAD
MALAMBO,BELLAVISTA
CARTAGENA (CT),LA ESPERANZA
CARTAGENA (CT),LOS ALPES
CHISCAS,BARRIO LIBERTADORES
DUITAMA,SAN FERNANDO
PAIPA,CENTRO
MANIZALES (CT),CENTRO
MANIZALES (CT),PARQUE OLAYA
VILLAMARIA,SECTOR PANAMERICANA
FLORENCIA (CT),EL CUNDUY
FLORENCIA (CT),LOS CONSTRUCTORES
YOPAL (CT),EL TRIUNFO
YOPAL (CT),EL PARAISO
POPAYAN (CT),EL PLACER
POPAYAN (CT),CENTRO
POPAYAN (CT),CENTRO
POPAYAN (CT),LIMONAR
AGUACHICA,VILLA CONTRI
VALLEDUPAR (CT),VILLA HAIDY
VALLEDUPAR (CT),EL CARMEN
VALLEDUPAR (CT),SAN ANTONIO
CERETE,SAN NICOLAS
CHINU,EL CENTRO
MONTERIA (CT),MONTEVERDE
SAHAGUN,LAS MERCEDES
BOGOTA D.C. (CT),TOCAREMA E-8
BOGOTA D.C. (CT),BOITA E-8
BOGOTA D.C. (CT),URB. LA FRAGUITA E-15
BOGOTA D.C. (CT),BRASILL II SECTOR E-7
BOGOTA D.C. (CT),EL RESTREPO E-15
BOGOTA D.C. (CT),SAN VICTORINO E-14
BOGOTA D.C. (CT),GALAN E-16
BOGOTA D.C. (CT),NUEVA ARGENTINA E-19
BOGOTA D.C. (CT),MUZU E-16
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),SANTA ISABEL E-14
BOGOTA D.C. (CT),VEINTE DE JULIO E-4
BOGOTA D.C. (CT),CIUDAD BERNA E-15
BOGOTA D.C. (CT),MARIA PAZ E-8
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),LOS CEDRITOS E-1
BOGOTA D.C. (CT),TOBERIN ORIENTAL E-1
BOGOTA D.C. (CT),TORCA GONGORA E-1
BOGOTA D.C. (CT),ALTOS DEL REDIL E-1
BOGOTA D.C. (CT),EL RETIRO E-2
BOGOTA D.C. (CT),SANTA ISABEL E-14
BOGOTA D.C. (CT),LISBOA E-11
BOGOTA D.C. (CT),TANQUES DEL SILENCIO E-3
BOGOTA D.C. (CT),EL CORTIJO E-5
BOGOTA D.C. (CT),VILLA JAVIER E-4
BOGOTA D.C. (CT),PORVENIR LA CONCEPCION E-7
BOGOTA D.C. (CT),PATIO BONITO I E-8
MAICAO,CENTRO
RIOHACHA (CT),MARIA EUGENIA ROJAS
NEIVA (CT),DARIO ECHANDIA
NEIVA (CT),SANTA INES
SANTA MARTA (CT),URBANIZACION CONCEPCION NO. 1-2-3-4-5
SANTA MARTA (CT),MIRAFLORES
SANTA MARTA (CT),URBANIZACION SANTA LUCIA
SANTA MARTA (CT),VEREDA DON JACA
SANTA MARTA (CT),RODADERO TRADICIONAL
VILLAVICENCIO (CT),LA ESPERANZA VI ETAPA
VILLAVICENCIO (CT),RECREO
CHACHAGUI,EL CONFAMILIAR
IMUES,CENTRO
IPIALES,LA CASTELLANA
IPIALES,CENTRO
PASTO (CT),VENECIA
PASTO (CT),LORENZO
PASTO (CT),CAICEDO ALTO
PASTO (CT),TAMASAGRA I
PASTO (CT),CAICEDO ALTO
PASTO (CT),NUEVO HORIZONTE
PASTO (CT),VARIANTE SECTOR EL TUNEL
PASTO (CT),SAN FERNANDO
PASTO (CT),LA LOMITA
TUQUERRES,LA LIBERTAD
CUCUTA (CT),BARRIO EL LLANO
CUCUTA (CT),BARRIO EL LLANO
CUCUTA (CT),BARRIO CENTRO
ARMENIA (CT),CENTRO
ARMENIA (CT),GUADUALES DE LA VILLA
ARMENIA (CT),GUADUALES DE LA VILLA
ARMENIA (CT),SAN JOSE
CALARCA,"GUADUALES I,II,III,IV"
CALARCA,VERSALLES
QUIMBAYA,LOS LAURELES
DOSQUEBRADAS,CAMPESTRE B
DOSQUEBRADAS,CAMPESTRE B
DOSQUEBRADAS,CAMPESTRE B
DOSQUEBRADAS,SANTA TERESITA
DOSQUEBRADAS,SANTA TERESITA
PEREIRA (CT),CENTRO (A) PEREIRA
PEREIRA (CT),GALICIA ALTA
PEREIRA (CT),POBLADO II
PEREIRA (CT),POBLADO II
BUENAVENTURA,NAVAL
PEREIRA (CT),HACIENDA CUBA
SAN ANDRES (CT),SECTOR CENTRO
SAN ANDRES (CT),SECTOR CENTRO
BARRANCABERMEJA,VERSALLES
BARRANCABERMEJA,PRIMERO DE MAYO
BUCARAMANGA (CT),CENTRAL DE ABASTOS
BUCARAMANGA (CT),CENTRO
BUCARAMANGA (CT),COMUNEROS
BUCARAMANGA (CT),SAN FRANCISCO
BUCARAMANGA (CT),CENTRO
FLORIDABLANCA,NUEVO VILLABEL
FLORIDABLANCA,EL CARMEN I
FLORIDABLANCA,JOSE A. MORALES
FLORIDABLANCA,CASCO ANTIGUO DE FLORIDABLANCA
PIEDECUESTA,EL REFUGIO
SAN GIL,SANTANDER
SINCELEJO (CT),PABLO SEXTO
IBAGUE (CT),EL SALADO
IBAGUE (CT),PROTECHO (URB.) SALADO
IBAGUE (CT),ESTACION
IBAGUE (CT),BELARCAZAR
BUENAVENTURA,EL JORGE
CALI (CT),DIAMANTE E13
CALI (CT),POTRERO GRANDE E21
CALI (CT),LILI E17
CALI (CT),BRISAS DE MAYO E20
CALI (CT),NUEVA FLORESTA E12
CALI (CT),SAN CAYETANO E3
CALI (CT),JOSE M. MARROQUIN II E14
CALI (CT),ALIRIO MORA BELTRAN E14
CALI (CT),SIETE DE AGOSTO E7
CALI (CT),CIUDAD CORDOBA E15
CALI (CT),ALFONSO LOPEZ I E7
CALI (CT),ALFONSO B. ARAGON E14
CALI (CT),ASTURIAS E12
CALI (CT),PRIMITIVO CRESPO E8
CALI (CT),EL PRADO E11
TULUA,URBANIZACION BUENOS AIRES
YUMBO,URIBE E25
BELLO,VDA. SAN FELIX
EL CARMEN DE VIBORAL,EL CENTRO
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),PATIO BONITO C-14
MEDELLIN (CT),SAN BENITO C-10
MEDELLIN (CT),LA AMERICA C-12
MEDELLIN (CT),ANTONIO NARINHO C-13
MEDELLIN (CT),LA CANDELARIA C-10
