BARRIO,ZONA
VILLA JULIA,URBANA
MULTIFAMILIAR LOS CENTAUROS,URBANA
SAN MARCOS,URBANA
SANTA INES,URBANA
12 DE OCTUBRE,URBANA
ESTERO,URBANA
VILLA JULIA,URBANA
LA ESPERANZA,URBANA
VEREDA JUNIN,RURAL
AVENIDA PANAMERICANA,URBANA
20 DE JULIO,URBANA
IDEMA,URBANA
VILLA ANGELA,URBANA
AV. ESTUDIANTES,URBANA
PARQUE BOLIVAR,URBANA
CENTENARIO,URBANA
VILLA DE LOS RIOS,URBANA
BARRIO ALFONSO LOPEZ,URBANA
BARRIO BELEN,URBANA
BARRIO POLICARPA,URBANA
BARRIO CENTRO,URBANA
BARRIO SAN MARTIN,URBANA
BARRIO CEIBA,URBANA
BARRIO CUNDINAMARCA,URBANA
BARRIO CUNDINAMARCA,URBANA
VEREDA LA CACAHUALA,RURAL
BARRIO LOMITAS,URBANA
GENESIS,URBANA
SECTOR CENTRO COMERCIAL UNICENTRO,URBANA
SESENTA CASAS,URBANA
CENTRO,URBANA
CAMILO DUQUE,URBANA
VDA. COMBIA,RURAL
CIRCUNVALAR,URBANA
CENTRO (A) PEREIRA,URBANA
LOS SAUCES,URBANA
SECTOR GALERIA CENTRAL,URBANA
SECTOR PARQUE LA LIBERTAD,URBANA
LA PAZ CENTRO,URBANA
EL PORVENIR COM. CENTRO,URBANA
SECTOR CENTRO,URBANA
BOSTON,URBANA
SAN FRANCISCO,URBANA
SAN ALONSO,URBANA
VILLA MARIA,URBANA
VILLA MERCEDES,URBANA
12 DE OCTUBRE,URBANA
CABECERA DEL LLANO,URBANA
MUTIS,URBANA
VILLA MERCEDES,URBANA
CENTRO,URBANA
CENTRO,URBANA
CENTRO,URBANA
URB. BALCONES DE LA COLINA,URBANA
LA CUMBRE,URBANA
ALTAMIRA,URBANA
ZAPAMANGA I,URBANA
ZAPAMANGA I,URBANA
VDA. EL CARRIZAL,RURAL
VDA. EL CARRIZAL,RURAL
RINCON DE LA PAZ,URBANA
SECTOR BRIGADA DE INFANTERIA DE MARINA,RURAL
URB LA TOSCANA,URBANA
20 DE JULIO,URBANA
FATIMA,URBANA
CENTRO,URBANA
ESTACION,URBANA
SIMON BOLIVAR,URBANA
CENTRO,URBANA
LAS MARGARITAS,URBANA
BELARCAZAR,URBANA
SAN VICENTE DE PAUL (11),URBANA
EL SABROSO,URBANA
CENTRO,URBANA
CENTRO,URBANA
LA ISABELA,URBANA
LA ISABELA,URBANA
CUARTO LEGUA - GUADALUPE E19,URBANA
EUCARISTICO E19,URBANA
URB. MILITAR E19,URBANA
CERRO TRES CRUCES E1,RURAL
EL GRAN LIMONAR E17,URBANA
DIAMANTE E13,URBANA
METROPOLITANO DEL NORTE E5,URBANA
SAN JUAN BOSCO E3,URBANA
CIUDAD UNIVERSITARIA E17,URBANA
SAN FERNANDO NUEVO E19,URBANA
SIETE DE AGOSTO E7,URBANA
EL GRAN LIMONAR E17,URBANA
LOS COMUNEROS I E15,URBANA
CIUDAD CAPRI E17,URBANA
BOSQUES DEL LIMONAR E17,URBANA
EL CALVARIO E3,URBANA
ALFONSO LOPEZ I E7,URBANA
SAN VICENTE E2,URBANA
JUNIN E9,URBANA
CORREGIMIENTO SONSO,RURAL
EL DORADO E24,URBANA
VIA PALMIRA - PRADERA,RURAL
CENTRO,URBANA
LAS BRISAS,URBANA
CENTRO,URBANA
CGTO ACOPI E25,URBANA
BOLIVAR E25,URBANA
LA MADERA,URBANA
CIUDADELA DEL NORTE,URBANA
NIQUIA QUITASOL,URBANA
PACHELLY,URBANA
VDA. SAN FELIX,RURAL
MANCHESTER,URBANA
ALTOS DE NIQUIA,URBANA
LA MOSQUITA,RURAL
SANTA MARIA # 3,URBANA
SIMON BOLIVAR,URBANA
SANTA MARIA # 1,URBANA
SANTA MARIA # 1,URBANA
LA AGUACATALA C-14,URBANA
SIMESA C-14,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
PRADO C-10,URBANA
LA CANDELARIA C-10,URBANA
SEVILLA  C-4,URBANA
EL POBLADO C-14,URBANA
EL POBLADO C-14,URBANA
LOS COLORES C-11,URBANA
PRADO C-10,URBANA
LA CANDELARIA C-10,URBANA
LA AGUACATALA C-14,URBANA
EL POBLADO C-14,URBANA
LA CANDELARIA C-10,URBANA
VILLANUEVA C-10,URBANA
LORENA C-11,URBANA
VILLANUEVA C-10,URBANA
CAMPO VALDES 1  C-4,URBANA
CALDAS,URBANA
CALDAS,URBANA
CALDAS,URBANA
REBOLO,URBANA
BELLA ARENA,URBANA
COLOMBIA,URBANA
ABAJO,URBANA
NUEVO MILENIO,URBANA
POLICARPA,URBANA
SAN VICENTE,URBANA
CENTRO,URBANA
CENTRO,URBANA
BARRIO BACHUE,URBANA
ESTAMBUL,URBANA
BARRIO LAS AMERICAS,URBANA
CENTENARIO,URBANA
CENTENARIO,URBANA
LIBERTADORES,URBANA
BELLO HORIZONTE,URBANA
LOS HEROES,URBANA
ABELINO ULL,URBANA
LA PRIMAVERA,URBANA
LA ISABELA,URBANA
OLAYA HERRERA,URBANA
VEREDA,RURAL
LA GUAJIRITA,URBANA
SAN VICENTE,URBANA
LA NEVADA,URBANA
SANTA TERESA,URBANA
AVENIDA CHINU,RURAL
JUAN XVIII,URBANA
VEINTE DE JULIO E-4,URBANA
BOITA E-8,URBANA
LAS NIEVES E-3,URBANA
SANTA RITA E-11,URBANA
ALHAMBRA SECTOR NORTE E-11,URBANA
SANTA HELENITA E-10,URBANA
TEUSAQUILLO E-13,URBANA
LA CABRERA E-2,URBANA
VENECIA E-6,URBANA
EL RESTREPO E-15,URBANA
RICAURTE E-14,URBANA
VITELMA E-4,URBANA
LA LIBERTAD I E-7,URBANA
EL RUBI I SECTOR E-8,URBANA
NIZA SUR I E-11,URBANA
7 DE AGOSTO E-12,URBANA
LAS CRUCES E-3,URBANA
RESTREPO E-15,URBANA
MANDALAY I ETAPA E-8,URBANA
LAS AGUAS E-17,URBANA
EL AMPARO E-8,URBANA
BARRIOS UNIDOS E-12,URBANA
FATIMA E-6,URBANA
TINTAL    E-8,URBANA
VILLA DEL PROGRESO E-7,URBANA
LAGOS DE SUBA E-11,URBANA
EL RESTREPO E-15,URBANA
ATICOS DEL SALITRE E-9,URBANA
NICOLAS DE FEDERMAN E-13,URBANA
CANDELARIA III-IV E-19,URBANA
PIAMONTE E-7,URBANA
PATIO BONITO I E-8,URBANA
CARTAGENITA,URBANA
CARTAGENITA,URBANA
CARTAGENITA,URBANA
CENTRO,URBANA
EL CARMEN,URBANA
BARRIO LA PAZ,URBANA
VIA BATALLON,URBANA
VIA BATALLON,URBANA
GAITAN,URBANA
LAS GRANJAS,URBANA
CALIXTO LEYVA,URBANA
CALIXTO LEYVA,URBANA
CALIXTO LEYVA,URBANA
JOSE ANTONIO GALAN,URBANA
TIMANCO,URBANA
CENTRO,URBANA
TAGANGA,URBANA
BAVARIA,URBANA
KIRPA,URBANA
SAN ISIDRO,URBANA
PORVENIR,URBANA
SAN VICENTE,URBANA
MISTARES,URBANA
RUMICHACA,RURAL
AV. ESTUDIANTES,URBANA
SAN IGNACIO,URBANA
EL PRADO,URBANA
CATAMBUCO CENTRO,URBANA
SAN IGNACIO,URBANA
ARRAYAN,URBANA
BARRIO SIMON BOLIVAR,URBANA
BARRIO BELISARIO,URBANA
BARRIO EL DORADO,URBANA
PLAZA DE BOLIVAR,URBANA
ZONA CENTRO,URBANA
EL BOSQUE DEL CARBONERO,URBANA
GILBERTO PELAEZ,URBANA
BAVARIA,URBANA
BAVARIA,URBANA
LAS GRANJAS,URBANA
CENTRO,URBANA
EL PORVENIR,URBANA
TERMINAL DE TRANSPORTES,URBANA
SOTOMAYOR,URBANA
BUCARICA,URBANA
EL CENTRO,URBANA
CENTRO,URBANA
LA VEGA,URBANA
VRDA. EL TOTUMO,RURAL
EL PENHON,URBANA
JARDINES DE NAVARRA,URBANA
PUEBLO NUEVO,URBANA
MORAVIA  C-4,URBANA
VIA AEROPUERTO,URBANA
CENTRO,URBANA
VIA PANAMERICANA,URBANA
14 DE JULIO,URBANA
BENJAMIN HERRERA E8,URBANA
CHIPICHAPE E2,URBANA
CGTO LA VORAGINE E22,URBANA
SAN CARLOS E11,URBANA
EVARISTO GARCIA E4,URBANA
CIUDAD CORDOBA E15,URBANA
MORICHAL DE COMFANDI E15,URBANA
CGTO LA VORAGINE E22,RURAL
URB. CIUDAD JARDIN E22,URBANA
JOSE M. MARROQUIN II E14,URBANA
LA INDEPENDENCIA E11,URBANA
LLANO VERDE E15,URBANA
CHIMINANGOS I E5,URBANA
ALFONSO LOPEZ II E7,URBANA
VALLADO E15,URBANA
LOS ANDES E5,URBANA
EL REFUGIO E19,URBANA
CGTO JUANCHITO,URBANA
JUAN DE AMPUDIA E24,URBANA
JUAN DE AMPUDIA E24,URBANA
JUAN PABLO II E25,URBANA
LA MADERA,URBANA
CIUDAD NIQUIA,URBANA
PEREZ,URBANA
CENTRAL,URBANA
LA BASCULA,URBANA
MILLAN Y VALLEJUELOS,URBANA
LAS FLORES,URBANA
ZONA CENTRO,URBANA
SANTA MARIA # 1,URBANA
SAN BENITO C-10,URBANA
ESTACION VILLA C-10,URBANA
ASTORGA C-14,URBANA
CALLE NUEVA C-10,URBANA
LA ALPUJARRA C-10,URBANA
LA MILAGROSA  C-9,URBANA
GIRARDOT C-5,URBANA
LA CANDELARIA C-10,URBANA
HOSPITAL SAN VICENTE DE PAUL C-10,URBANA
LA CANDELARIA C-10,URBANA
LA MILAGROSA  C-9,URBANA
BARRIO COLON C-10,URBANA
BELEN C-16,URBANA
ROSALES C-16,URBANA
ESTACION VILLA C-10,URBANA
SAN ANTONIO C-8,URBANA
SAN BENITO C-10,URBANA
LA CANDELARIA C-10,URBANA
MANRIQUE 1  C-4,URBANA
LA CANDELARIA C-10,URBANA
TRICENTENARIO C-5,URBANA
LA FLORESTA C-12,URBANA
LA ALAMEDA,URBANA
LA ALAMEDA,URBANA
CENTRO,URBANA
VILLATE,URBANA
LA PLAYA,URBANA
LA VICTORIA,URBANA
EL PARAISO,URBANA
LOS ALPES,URBANA
SUCRE,URBANA
ALTA SUIZA,URBANA
BARRIO SAN CAYETANO,URBANA
LA PRIMAVERA,URBANA
ALFONSO LOPEZ,URBANA
LOS ANGELES,URBANA
PROVIVIENDA,URBANA
MARANATHA,RURAL
CASIMENA,URBANA
CASIMENA,URBANA
LA ELISA,URBANA
VILLA DOCENTE,URBANA
SAN CAMILO,URBANA
EL BAJON,URBANA
CENTRO,URBANA
MANANTIAL,URBANA
CENTRO,RURAL
EL CENTRO,URBANA
EL CENTRO,URBANA
CENTRO,URBANA
CARVAJAL E-8,URBANA
CIUDAD KENNEDY OCC E-8,URBANA
SAN PABLO E-7,URBANA
RINCON DE LOS ANGELES  E-8,URBANA
PARQUE NACIONAL E-3,URBANA
PARQUE NACIONAL E-3,URBANA
LAS FLORES E-11,URBANA
CANDELARIA LA NUEVA I SECTOR E-19,URBANA
ALTAMIRA E-4,URBANA
NUEVO PORVENIR E-5,URBANA
CHICO NORTE II E-2,URBANA
LAS MERCEDES E-11,URBANA
SAN DIEGO E-3,URBANA
RICAURTE E-14,URBANA
VILLA DEL RINCON E-11,URBANA
SAN FELIPE E-12,URBANA
CASA GRANDE E-19,URBANA
EL ESPARTILLAL E-2,URBANA
PRADO PINZON E-11,URBANA
LA VICTORIA E-4,URBANA
FONTIBON CENTRO E-9,URBANA
NUEVO TIMIZA E-8,URBANA
CIUDAD DE CALI E-8,URBANA
INGLES E-18,URBANA
LA ESTRADA E-10,URBANA
UNIDAD RESIDENCIAL SANTA YOLANDA E-8,URBANA
TEUSAQUILLO E-13,URBANA
EL MOTORISTA E-7,URBANA
ROSABLANCA,URBANA
CAMILO TORRES,URBANA
JOSE ANTONIO GALAN,URBANA
VEREDA BRUSELAS,RURAL
PLAYA SALGUERO,URBANA
GAIRA CENTRO,URBANA
PORVENIR,URBANA
BARZAL BAJO,URBANA
PORFIA,URBANA
PORFIA,URBANA
PORVENIR,URBANA
BARZAL ALTO,URBANA
EL CENTRO,URBANA
AVENIDA PANAMERICANA,URBANA
SAN FELIPE,URBANA
MADRIGAL,URBANA
SANTA FE,URBANA
CHAMBU I,URBANA
RINCON DE LA AURORA,URBANA
SAN ANDRES,URBANA
SAN ANDRES,URBANA
POTRERILLO,URBANA
POTRERILLO,URBANA
CENTRO,URBANA
BARRIO LA LIBERTAD,URBANA
BARRIO LAS MARGARITAS,URBANA
BARRIO SEVILLA,URBANA
BARRILOCHE,URBANA
TRES ESQUINAS,URBANA
TRES ESQUINAS,URBANA
TRES ESQUINAS,URBANA
LOS NARANJOS,URBANA
FUNDADORES,URBANA
CENTRO,URBANA
FELIPE MELENDEZ,URBANA
BUENOS AIRES,URBANA
ZONA CENTRO,URBANA
VENECIA CENTRO V-3,URBANA
GAMMA IV,URBANA
CGTO. EL CENTRO,URBANA
OLAYA HERRERA,URBANA
OLAYA HERRERA,URBANA
MARIA EUGENIA,URBANA
LA JOYA,URBANA
URB. MANZANARES,URBANA
LA SALLE,URBANA
PROVENZA,URBANA
PROVENZA,URBANA
RICAURTE,URBANA
CAFE MADRID,URBANA
RICAURTE,URBANA
RICAURTE,URBANA
CIUDADELA REAL DE MINAS,URBANA
VILLA ALEGRIA,URBANA
LA PEDREGOSA,URBANA
TERMINAL DE TRANSPORTES,URBANA
LA CUMBRE,URBANA
POBLADO,URBANA
LA SELVA,URBANA
ALTOS DE LA SABANA,URBANA
CENTRO,URBANA
BETANIA,URBANA
EL PARAISO,URBANA
PRADO I,URBANA
CENTRO,URBANA
MODELIA,URBANA
FUENTE LOS ROSALES II,URBANA
BELEN,URBANA
EL FIRME,URBANA
NUEVA FLORESTA E12,URBANA
EL TRONCAL E8,URBANA
MOJICA E15,URBANA
OBRERO E9,URBANA
EL TRONCAL E8,URBANA
SAN MARINO E7,URBANA
EL NACIONAL E3,URBANA
VILLA DEL PRADO - EL GUABITO E5,URBANA
VILLA DEL PRADO - EL GUABITO E5,URBANA
PANAMERICANO E10,URBANA
COMPARTIR E21,URBANA
JUNIN E9,URBANA
UNION DE VIVIENDA POPULAR E16,URBANA
JOSE M. MARROQUIN II E14,URBANA
OLIMPICO E10,URBANA
LA MERCED E3,URBANA
PARCELACIONES PANCE E22,URBANA
LA NUEVA BASE E8,URBANA
PRIMERO DE MAYO E17,URBANA
SAN JOAQUIN E17,URBANA
LA INDEPENDENCIA E11,URBANA
PANAMERICANO E24,URBANA
LA INDEPENDENCIA,URBANA
LORETO,URBANA
VILLA MARINA,URBANA
ARROYOHONDO ZONA INDUSTRIAL (25-2),URBANA
ZAMORA,URBANA
GUASIMALITO,URBANA
CIUDAD NIQUIA,URBANA
VDA. PRIMAVERA,RURAL
MIRAFLORES,URBANA
ALCALA,URBANA
SAN JOSE,URBANA
LA CANDELARIA C-10,URBANA
MANILA C-14,URBANA
FRANCISCO ANTONIO ZEA C-5,URBANA
EL SALVADOR  C-9,URBANA
PATIO BONITO C-14,URBANA
CASTILLA C-5,URBANA
LA CANDELARIA C-10,URBANA
LA CANDELARIA C-10,URBANA
BELEN C-16,URBANA
EL DIAMANTE C-7,URBANA
CARIBE C-5,URBANA
MANRIQUE 1  C-4,URBANA
LA CANDELARIA C-10,URBANA
PRADO C-10,URBANA
LA AMERICA C-12,URBANA
PEDREGAL C-6,URBANA
VILLA MARIA,URBANA
SAN JOSE,URBANA
LAS ESMERALDA,URBANA
PRADO,URBANA
LA PAZ,URBANA
LA PRADERA,URBANA
RIOMAR,URBANA
COSTA HERMOSA,URBANA
VILLA ESTADIO I,URBANA
SALAMANCA,URBANA
VILLA ESTADIO I,URBANA
PASEO DE BOLIVAR,URBANA
REP. DE CHILE,URBANA
BARRIO  VILLA LUZ,URBANA
CENTRO,URBANA
BAJO TABLAZO,RURAL
BARRIO LLERAS,URBANA
GONZALEZ,URBANA
CENTRO,URBANA
BARRIO VERSALLES,URBANA
VILLA CARMENZA,URBANA
VDA GALLINAZO,RURAL
SECTOR PANAMERICANA,URBANA
LA AMAZONIA,URBANA
LOS ANDES,URBANA
LA ESMERALDA,URBANA
MARIA OCCIDENTE,URBANA
LA PAZ,URBANA
LA PALIZADA,URBANA
7 DE JUNIO,URBANA
DIVINO NINHO,URBANA
5 DE ENERO,URBANA
SAN VICENTE,URBANA
SANTA TERESA,URBANA
EDMUNDO LÒPEZ,URBANA
EDMUNDO LÒPEZ,URBANA
EL CENTRO,URBANA
CEDRO NORTE E-1,URBANA
LA ESTANCIA E-19,URBANA
URB. LA ALQUERIA E-16,URBANA
GUACAMAYAS I-II E-4,URBANA
CHICO NORTE I E-2,URBANA
VILLA ELISA E-11,URBANA
VILLA DEL PRADO E-11,URBANA
EL MUELLE  E-10,URBANA
LA ESMERALDA E-13,URBANA
LUCERO BAJO E-19,URBANA
SANTA ROSA E-11,URBANA
VILLA ALSACIA E-8,URBANA
RICAURTE E-14,URBANA
LA CAROLINA E-1,URBANA
QUESADA E-13,URBANA
PUENTE LARGO E-11,URBANA
SANTA LIBRADA E-5,URBANA
SAN ISIDRO E-4,URBANA
EL RECREO E-7,URBANA
EL POA E-11,URBANA
SANTA ISABEL E-14,URBANA
LISBOA E-11,URBANA
LAS AMERICAS E-8,URBANA
SAN VICTORINO E-3,URBANA
VILLA CLAUDIA E-8,URBANA
GRAN BRITALIA E-8,URBANA
MURILLO TORO E-18,URBANA
CHICO NAVARRA E-1,URBANA
QUESADA E-13,URBANA
ALHAMBRA SECTOR NORTE E-11,URBANA
EL MIRADOR SUR I Y II E-18,URBANA
GRANADA SUR E-4,URBANA
URB. CASTILLA E-8,URBANA
EL PORVENIR E-5,URBANA
URB. LOS HEROES E-2,URBANA
SAN JUSTINO E-18,URBANA
RICAURTE E-14,URBANA
NUEVO KENNEDY E-8,URBANA
SUCRE E-2,URBANA
PRADO VERANIEGO E-11,URBANA
CENTRO,URBANA
VILLAMAICAO,URBANA
SANTA RITA,URBANA
SANTA RITA,URBANA
BOCAGRANDE,URBANA
BOCAGRANDE,URBANA
CENTRO,URBANA
CENTRO,URBANA
DIEGO DE OSPINA,URBANA
DIEGO DE OSPINA,URBANA
EL LIMONAR,URBANA
MANZANARES,URBANA
VEREDA PALACIO,RURAL
VEREDA MATANZAS,RURAL
PESCAITO,URBANA
NUEVA GALICIA,URBANA
TAGANGA,URBANA
GAIRA CENTRO,URBANA
TEYUNA,URBANA
LA ESPERANZA,URBANA
LA ESPERANZA,URBANA
LA ESPERANZA,URBANA
FLORENCIA,URBANA
BARZAL ALTO,URBANA
LLANO LINDO,URBANA
LLANO LINDO,URBANA
VILLA BOLIVAR,URBANA
CENTRO,URBANA
CENTRO,URBANA
LAS LUNAS,URBANA
POTRERILLO,URBANA
POTRERILLO,URBANA
RECUERDO,URBANA
CAPUSIGRA,URBANA
BARRIO PALMERAS,URBANA
BARRIO LOMA DE BOLIVAR,URBANA
BARRIO LA PLAYA,URBANA
BARRIO LOS COMUNEROS,URBANA
BARRIO LOS COMUNEROS,URBANA
BARRIO LA CAPILLANA,URBANA
CENTRO,URBANA
VILLA JAZMIN,URBANA
ZONA CENTRO,URBANA
ZONA CENTRO,URBANA
URIBE URIBE,URBANA
SECTOR PUENTES DE LA 9A CON 12,URBANA
VILLA DEL PRADO,URBANA
SECTOR PARQUE LA LIBERTAD,URBANA
VILLA OLIMPICA I,URBANA
BARRIO ALMENDRO,URBANA
BARRIO SARIE BAY,URBANA
BARRIO SARIE BAY,URBANA
EL CHICO,URBANA
LIGA,URBANA
LA FLORESTA,URBANA
CABECERA DEL LLANO,URBANA
CONUCOS,URBANA
CENTRO,URBANA
CENTRO,URBANA
CIUDAD VENECIA,URBANA
LA SALLE,URBANA
CABECERA DEL LLANO,URBANA
LAGOS I,URBANA
BARRO BLANCO,URBANA
CENTRO P/TA,URBANA
CENTRO,URBANA
BOSTON,URBANA
CARACOLI,URBANA
SIMON BOLIVAR,URBANA
CADIZ,URBANA
CENTRO,URBANA
CADIZ,URBANA
MAGISTERIO,URBANA
ESTACION,URBANA
CENTRO,URBANA
VERSALLES,URBANA
MACARENA ALTA,URBANA
MACARENA ALTA,URBANA
ROBERTO LEIVA,URBANA
CENTENARIO,URBANA
ANGEL DEL HOGAR E7,URBANA
LOS GUADUALES E6,URBANA
PIZAMOS I E21,URBANA
VILLACOLOMBIA E8,URBANA
PARCELACIONES PANCE E22,URBANA
CANEY E17,URBANA
PAMPA LINDA E19,URBANA
ARANJUEZ E9,URBANA
CIUDAD CORDOBA E15,URBANA
PIZAMOS I E21,URBANA
SAN FERNANDO VIEJO E19,URBANA
LA ALIANZA E4,URBANA
CIUDAD CAMPESTRE E22,URBANA
ALFONSO B. ARAGON E14,URBANA
LA CONCORDIA,URBANA
LA CONCORDIA,URBANA
LA CRUZ,RURAL
JORGE ELIECER GAITAN,URBANA
BELLO HORIZONTE,URBANA
SAN PEDRO,URBANA
GUAIMARAL,URBANA
PRADO,URBANA
PRADO,URBANA
CENTRO,URBANA
ASOVIVIENDA,URBANA
VILLANUEVA,URBANA
MACHADO,URBANA
MACHADO,URBANA
VDA. ENCERILLOS,RURAL
LA SUSANA,RURAL
LA CANDELARIA C-10,URBANA
EL RODEO C-15,URBANA
LA CANDELARIA C-10,URBANA
BOSTON C-10,URBANA
ESTACION VILLA C-10,URBANA
ESTACION VILLA C-10,URBANA
LA LADERA C-8,URBANA
PERPETUO SOCORRO C-10,URBANA
LAS PALMAS C-10,URBANA
VILLANUEVA C-10,URBANA
SAN JOAQUIN C-11,URBANA
LA AGUACATALA C-14,URBANA
NARANJAL C-11,URBANA
BARRIO CAYCEDO C-9,URBANA
MIRAMAR C-6,URBANA
FUENTE CLARA C-7,URBANA
CORAZON DE JESUS C-10,URBANA
LA CANDELARIA C-10,URBANA
SAN JAVIER 1 C-13,URBANA
BARRIO COLON C-10,URBANA
PRADO C-10,URBANA
PRADO C-10,URBANA
ROBLEDO C-7,URBANA
LA CANDELARIA C-10,URBANA
GUAYAQUIL C-10,URBANA
LAS ACACIAS C-11,URBANA
CALLE NUEVA C-10,URBANA
SAN DIEGO C-10,URBANA
LA CANDELARIA C-10,URBANA
CUARTA BRIGADA C-11,URBANA
PRADOS DE SABANETA,URBANA
SAN CARLOS,URBANA
BELLA ARENA,URBANA
SAN FELIPE,URBANA
EL LIMON,URBANA
7 DE ABRIL,URBANA
EVARISTO SOURDIS,URBANA
EVARISTO SOURDIS,URBANA
LA ILUSION,URBANA
ORIENTAL,URBANA
LOS ALMENDROS,URBANA
LOS ROBLES,URBANA
LA CASTELLANA,URBANA
EL POZON,URBANA
NARINHO,URBANA
MAMONAL,URBANA
CENTRO,URBANA
BARRIO EL CARMEN,URBANA
BARRIO MESOPOTAMIA,URBANA
ESTAMBUL,URBANA
CENTRO,URBANA
VILLAS DEL RECREO,URBANA
LA VEGA,URBANA
EL PARAISO,URBANA
LA LADERA,URBANA
BOLIVAR,URBANA
CENTRO,URBANA
EL DEAN,URBANA
LA ESMERALDA,URBANA
LOS SAUCES,URBANA
VEREDA,RURAL
ALFONSO LOPEZ,URBANA
YESCA GRANDE,URBANA
CAMPO ALEGRE,URBANA
COLON,URBANA
MONTEVERDE,URBANA
SAN JUAN DE LAS PALMAS,URBANA
URB. MARRUECOS E-18,URBANA
VILLA DEL RIO E-7,URBANA
FLORIDA BLANCA E-10,URBANA
EMAUS E-2,URBANA
URB. COSTA AZUL I Y II ETAPA E-11,URBANA
QUINTA PAREDES E-13,URBANA
LAS MERCEDES E-11,URBANA
NORMANDIA E-10,URBANA
LA ESPERANZA E-12,URBANA
ALCALA  E-11,URBANA
CATALUNHA E-2,URBANA
TEUSAQUILLO E-13,URBANA
RICAURTE E-14,URBANA
BELLAVISTA E-8,URBANA
VILLA ALSACIA E-8,URBANA
LISBOA E-11,URBANA
OLARTE E-7,URBANA
LA SANTAMARIA E-1,URBANA
LAS COLINAS E-18,URBANA
RICAURTE E-14,URBANA
PATIO BONITO I E-8,URBANA
ACACIAS NORTE E-1,URBANA
MINUTO DE DIOS E-10,URBANA
SAN VICENTE E-4,URBANA
CONTADOR E-1,URBANA
URB. TECHO E-8,URBANA
PUERTA DE TEJA E-9,URBANA
VICTORIA E-1,URBANA
EL TUNAL II E-6,URBANA
MARLY E-2,URBANA
MURILLO TORO E-18,URBANA
SAN JOSE SPRING E-11,URBANA
LA TOSCANA E-11,URBANA
URB. CLARET EL CARMEN E-6,URBANA
BARRIO PORVENIR,URBANA
LAS DELICIAS,URBANA
EL TRIANGULO,URBANA
LAS AMERICAS,URBANA
ALTO DELICIAS,URBANA
TAGANGA,RURAL
MAMATOCO,URBANA
URBANIZACION GALICIA,URBANA
MONTOYA PAVA,URBANA
OLIMPICO,URBANA
ESTERO,URBANA
SAN MARCOS,URBANA
GAITAN,URBANA
LA ESPERANZA VI ETAPA,URBANA
ESTERO,URBANA
CANTARRANA I,URBANA
SAN ISIDRO,URBANA
BARZAL ALTO,URBANA
VILLA JULIA,URBANA
ASBIDES,URBANA
LA LAGUNA,URBANA
CHAPAL,URBANA
PANADERIA,URBANA
CENTRO,URBANA
MIJITAJO BAJO,URBANA
CARLOS PIZARRO,URBANA
LOS DOS PUENTES,URBANA
CENTENARIO,URBANA
LA UNION,URBANA
BARRIO EL DESIERTO,URBANA
BARRIO RAFAEL NUNHEZ,URBANA
BARRIO EL LLANO,URBANA
BARRIO SAN RAFAEL,URBANA
BARRIO PUEBLO NUEVO,URBANA
BARRIO AEROPUERTO,URBANA
ALTOS DEL TAMARINDO,URBANA
BARRIO PRIMERO DE MAYO,URBANA
BOLIVAR,URBANA
AV. CENTENARIO,URBANA
HOSPITAL DE ZONA,URBANA
CENTRO,URBANA
SIMON BOLIVAR,URBANA
SECTOR PARQUE EL LAGO,URBANA
SECTOR AVENIDA CIRCUNVALAR,URBANA
PRIMERO DE FEBRERO 1,URBANA
COVIVA,URBANA
PROVENZA,URBANA
LA INDEPENDENCIA,URBANA
KENNEDY,URBANA
CABECERA DEL LLANO,URBANA
LA CONCORDIA,URBANA
SAN FRANCISCO,URBANA
SAN RAFAEL,URBANA
ALARCON,URBANA
GARCIA ROVIRA,URBANA
ANTONIA SANTOS,URBANA
REGADERO NORTE,URBANA
CASCO ANTIGUO,URBANA
SANTA CRUZ,URBANA
ARENALES I,URBANA
CIUDADELA VILLAMIL,URBANA
CIUDADELA VILLAMIL,URBANA
LOS MANGUITOS,URBANA
VILLA  MADY,URBANA
SECTOR LABADERO EXITO SANFRANCISCO,URBANA
VILLA  MADY,URBANA
SALOMIA E4,URBANA
LA GRAN COLOMBIA,URBANA
CENTRO,URBANA
ESTACION,URBANA
ESTACION,URBANA
BELEN,URBANA
NUEVA CASTILLA,URBANA
HIPODROMO,URBANA
SANTA HELENA,URBANA
DEPARTAMENTAL,URBANA
TULIO VARON,URBANA
BALTAZAR,URBANA
LA COLINA,URBANA
CENTRO,URBANA
LAS AMERICAS,URBANA
ZONA FRANCA,URBANA
LOS CAMBULOS E19,URBANA
LOS CAMBULOS E19,URBANA
12 DE OCTUBRE E12,URBANA
ASTURIAS E12,URBANA
CIUDAD CAMPESTRE E22,URBANA
SAAVEDRA GALINDO E8,URBANA
ALTOS DE MENGA E2,URBANA
CALIMA E4,URBANA
LOS ANDES B - LA RIVERA E5,URBANA
POTRERO GRANDE E21,URBANA
EL REMANSO E21,URBANA
EL VERGEL E13,URBANA
CHAMPAGNAT E19,URBANA
MELENDEZ E18,URBANA
CHAPINERO E8,URBANA
EL JARDIN E11,URBANA
CALDAS E18,URBANA
LOS CHORROS E18,URBANA
LOS CHORROS E18,URBANA
SAN PEDRO E3,URBANA
CGTO MONTEBELLO E1,RURAL
